origin,dest,data,menor preço,data de extração,mes_ref,mes,load_factor
GYN,GRU,2025-07-15,500.2,2025-06-21,2025-07,7,84.0114771619986
GYN,GRU,2025-08-15,384.09,2025-06-21,2025-08,8,85.22843140026046
