EMPRESA (SIGLA);EMPRESA (NOME);EMPRESA (NACIONALIDADE);ANO;MÊS;AEROPORTO DE ORIGEM (SIGLA);AEROPORTO DE ORIGEM (NOME);AEROPORTO DE ORIGEM (UF);AEROPORTO DE ORIGEM (REGIÃO);AEROPORTO DE ORIGEM (PAÍS);AEROPORTO DE ORIGEM (CONTINENTE);AEROPORTO DE DESTINO (SIGLA);AEROPORTO DE DESTINO (NOME);AEROPORTO DE DESTINO (UF);AEROPORTO DE DESTINO (REGIÃO);AEROPORTO DE DESTINO (PAÍS);AEROPORTO DE DESTINO (CONTINENTE);NATUREZA;GRUPO DE VOO;PASSAGEIROS PAGOS;PASSAGEIROS GRÁTIS;CARGA PAGA (KG);CARGA GRÁTIS (KG);CORREIO (KG);ASK;RPK;ATK;RTK;COMBUSTÍVEL (LITROS);DISTÂNCIA VOADA (KM);DECOLAGENS;CARGA PAGA KM;CARGA GRATIS KM;CORREIO KM;ASSENTOS;PAYLOAD;HORAS VOADAS;BAGAGEM (KG)
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2015;1;KDFW;DALLAS & FORT WORTH, TEXAS;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;2466;42;26071;0;4109;24987600;20761300;4125310;2122590;;117866;14;219492000;0;34593700;2968;490000;144,82;
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2015;1;KDFW;DALLAS & FORT WORTH, TEXAS;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;7942;139;194146;0;79593;79224800;65473800;14056000;8149330;;255564;31;1600540000;0;656165000;9610;1705000;305,3;
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2015;1;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;4520;77;36027;0;41066;45809800;34935100;7574420;3739990;;216412;28;278453000;0;317399000;5927;980000;276,37;
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2015;1;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;7512;137;113459;0;47554;68899400;57572000;12224100;6415470;;222256;29;869550000;0;364454000;8990;1595000;273,72;
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2015;1;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBKP;CAMPINAS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;1729;31;34963;0;0;19906500;13131800;3189900;1447400;;91140;12;265544000;0;0;2621;420000;116,73;
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2015;1;KLAX;LOS ANGELES, CALIFORNIA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;6524;97;154952;0;52230;75642300;64711600;17864100;7879060;;307489;31;1536970000;0;518069000;7626;1801000;389,87;
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2015;1;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;0;0;0;0;0;;;;;;;;;;;;;;
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2015;1;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBBR;BRASÍLIA;DF;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;4691;60;2300;0;0;30317800;27245300;2561330;2465420;;174240;30;13358400;0;0;5220;441000;225,53;
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2015;1;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBCF;CONFINS;MG;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;5943;84;55019;0;0;42027900;38005500;7123840;3772320;;198245;31;351847000;0;0;6572;1113970;263,79;
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2015;1;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBCT;SÃO JOSÉ DOS PINHAIS;PR;SUL;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;3333;54;82659;1622;0;44895700;32959200;9258200;3771970;;205003;31;805662000;18661900;0;6789;1400000;267,98;
