EMPRESA (SIGLA);EMPRESA (NOME);EMPRESA (NACIONALIDADE);ANO;MÊS;AEROPORTO DE ORIGEM (SIGLA);AEROPORTO DE ORIGEM (NOME);AEROPORTO DE ORIGEM (UF);AEROPORTO DE ORIGEM (REGIÃO);AEROPORTO DE ORIGEM (PAÍS);AEROPORTO DE ORIGEM (CONTINENTE);AEROPORTO DE DESTINO (SIGLA);AEROPORTO DE DESTINO (NOME);AEROPORTO DE DESTINO (UF);AEROPORTO DE DESTINO (REGIÃO);AEROPORTO DE DESTINO (PAÍS);AEROPORTO DE DESTINO (CONTINENTE);NATUREZA;GRUPO DE VOO;PASSAGEIROS PAGOS;PASSAGEIROS GRÁTIS;CARGA PAGA (KG);CARGA GRÁTIS (KG);CORREIO (KG);ASK;RPK;ATK;RTK;COMBUSTÍVEL (LITROS);DISTÂNCIA VOADA (KM);DECOLAGENS;CARGA PAGA KM;CARGA GRATIS KM;CORREIO KM;ASSENTOS;PAYLOAD;HORAS VOADAS;BAGAGEM (KG)
AAF;AIGLE AZUR;ESTRANGEIRA;2019;1;LFPO;ORLY (NEAR PARIS);;;FRANÇA;EUROPA;SBKP;CAMPINAS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;NÃO REGULAR;3118;0;98305;0;0;43008700;29203200;7212640;3549000;;149856;16;920725000;0;0;4592;770089;144,86;
AAF;AIGLE AZUR;ESTRANGEIRA;2019;1;SBKP;CAMPINAS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;LFPO;ORLY (NEAR PARIS);;;FRANÇA;EUROPA;INTERNACIONAL;NÃO REGULAR;4051;0;28155;2694;0;43008700;37941700;7212640;3678440;;149856;16;263700000;25232000;0;4592;770089;227,34;
AAF;AIGLE AZUR;ESTRANGEIRA;2019;2;LFPO;ORLY (NEAR PARIS);;;FRANÇA;EUROPA;SBKP;CAMPINAS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;NÃO REGULAR;3141;0;65895;0;0;43008700;29418600;7212640;3264840;;149856;16;617173000;0;0;4592;770089;107,35;
AAF;AIGLE AZUR;ESTRANGEIRA;2019;2;SBKP;CAMPINAS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;LFPO;ORLY (NEAR PARIS);;;FRANÇA;EUROPA;INTERNACIONAL;NÃO REGULAR;3269;0;0;0;0;43008700;30617500;7212640;2755560;;149856;16;0;0;0;4592;770089;267,29;
AAF;AIGLE AZUR;ESTRANGEIRA;2019;3;LFPO;ORLY (NEAR PARIS);;;FRANÇA;EUROPA;SBKP;CAMPINAS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;NÃO REGULAR;2877;0;99619;0;0;45696700;26946000;11728800;3358160;;159222;17;933032000;0;0;4879;1252270;134,73;
AAF;AIGLE AZUR;ESTRANGEIRA;2019;3;SBKP;CAMPINAS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;LFPO;ORLY (NEAR PARIS);;;FRANÇA;EUROPA;INTERNACIONAL;NÃO REGULAR;4632;0;43402;0;0;51072800;43383300;16673000;4310990;;177954;19;406503000;0;0;5453;1780160;276,76;
AAF;AIGLE AZUR;ESTRANGEIRA;2019;4;LFPO;ORLY (NEAR PARIS);;;FRANÇA;EUROPA;SBKP;CAMPINAS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;NÃO REGULAR;4189;0;103369;0;0;59136900;39234200;9919540;4499220;;206052;22;968154000;0;0;6314;1059100;161,5;
AAF;AIGLE AZUR;ESTRANGEIRA;2019;4;SBKP;CAMPINAS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;LFPO;ORLY (NEAR PARIS);;;FRANÇA;EUROPA;INTERNACIONAL;NÃO REGULAR;5090;0;47580;0;0;53760800;47672900;12939400;4736190;;187320;20;445634000;0;0;5740;1381540;298,2;
AAF;AIGLE AZUR;ESTRANGEIRA;2019;5;LFPO;ORLY (NEAR PARIS);;;FRANÇA;EUROPA;SBKP;CAMPINAS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;NÃO REGULAR;3607;0;63596;0;0;59136900;33783200;9905720;3636110;;206052;22;595640000;0;0;6314;1057630;150,08;
AAF;AIGLE AZUR;ESTRANGEIRA;2019;5;SBKP;CAMPINAS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;LFPO;ORLY (NEAR PARIS);;;FRANÇA;EUROPA;INTERNACIONAL;NÃO REGULAR;6012;0;28144;0;0;59136900;56308400;9909170;5331340;;206052;22;263597000;0;0;6314;1058000;359,21;
