EMPRESA (SIGLA);EMPRESA (NOME);EMPRESA (NACIONALIDADE);ANO;MÊS;AEROPORTO DE ORIGEM (SIGLA);AEROPORTO DE ORIGEM (NOME);AEROPORTO DE ORIGEM (UF);AEROPORTO DE ORIGEM (REGIÃO);AEROPORTO DE ORIGEM (PAÍS);AEROPORTO DE ORIGEM (CONTINENTE);AEROPORTO DE DESTINO (SIGLA);AEROPORTO DE DESTINO (NOME);AEROPORTO DE DESTINO (UF);AEROPORTO DE DESTINO (REGIÃO);AEROPORTO DE DESTINO (PAÍS);AEROPORTO DE DESTINO (CONTINENTE);NATUREZA;GRUPO DE VOO;PASSAGEIROS PAGOS;PASSAGEIROS GRÁTIS;CARGA PAGA (KG);CARGA GRÁTIS (KG);CORREIO (KG);ASK;RPK;ATK;RTK;COMBUSTÍVEL (LITROS);DISTÂNCIA VOADA (KM);DECOLAGENS;CARGA PAGA KM;CARGA GRATIS KM;CORREIO KM;ASSENTOS;PAYLOAD;HORAS VOADAS;BAGAGEM (KG)
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2017;1;KDFW;DALLAS & FORT WORTH, TEXAS;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;7834;172;199729;0;61362;73602400;64583500;11582800;7964930;;255564;31;1646570000;0;505868000;8928;1405000;313,32;
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2017;1;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;5441;187;79963;0;32314;63014600;42053500;10782000;4652590;;239599;31;618034000;0;249755000;8153;1395000;296,6;
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2017;1;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;6994;246;195438;0;33779;73651000;53602000;13067100;6580890;;237584;31;1497840000;0;258882000;9610;1705000;298,26;
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2017;1;KLAX;LOS ANGELES, CALIFORNIA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;5689;121;146612;0;14699;62846800;56429200;9819810;6678660;;218218;22;1454240000;0;145799000;6336;990000;263,99;
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2017;1;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBBR;BRASÍLIA;DF;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;4466;74;3517;0;0;31328400;25938500;2520670;2354880;;180048;31;20426700;0;0;5394;434000;233,63;
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2017;1;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBCF;CONFINS;MG;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;5505;115;85902;0;0;42027900;35204500;6938580;3717730;;198245;31;549343000;0;0;6572;1085000;249,66;
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2017;1;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBEG;MANAUS;AM;NORTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;NÃO REGULAR;747;5;3;0;0;3473790;2896120;325668;260659;;27139;7;11631;0;0;896;84000;35,8;
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2017;1;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBEG;MANAUS;AM;NORTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;2603;28;677;0;0;12406400;10091800;1163100;910877;;96925;25;2624730;0;0;3200;3e+05;126,15;
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2017;1;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;NÃO REGULAR;3700;142;48622;0;12873;30199600;24852900;5138500;2649820;;114189;17;326594000;0;86467900;4496;765000;142,15;
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2017;1;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;9451;189;118529;0;40165;72080100;63482400;11855500;6779340;;261963;39;796159000;0;269788000;10731;1765000;322,63;
