EMPRESA (SIGLA);EMPRESA (NOME);EMPRESA (NACIONALIDADE);ANO;MÊS;AEROPORTO DE ORIGEM (SIGLA);AEROPORTO DE ORIGEM (NOME);AEROPORTO DE ORIGEM (UF);AEROPORTO DE ORIGEM (REGIÃO);AEROPORTO DE ORIGEM (PAÍS);AEROPORTO DE ORIGEM (CONTINENTE);AEROPORTO DE DESTINO (SIGLA);AEROPORTO DE DESTINO (NOME);AEROPORTO DE DESTINO (UF);AEROPORTO DE DESTINO (REGIÃO);AEROPORTO DE DESTINO (PAÍS);AEROPORTO DE DESTINO (CONTINENTE);NATUREZA;GRUPO DE VOO;PASSAGEIROS PAGOS;PASSAGEIROS GRÁTIS;CARGA PAGA (KG);CARGA GRÁTIS (KG);CORREIO (KG);ASK;RPK;ATK;RTK;COMBUSTÍVEL (LITROS);DISTÂNCIA VOADA (KM);DECOLAGENS;CARGA PAGA KM;CARGA GRATIS KM;CORREIO KM;ASSENTOS;PAYLOAD;HORAS VOADAS;BAGAGEM (KG)
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2024;1;KDFW;DALLAS & FORT WORTH, TEXAS;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;MPTO;PANAMA;;;PANAMÁ;AMÉRICA CENTRAL;INTERNACIONAL;REGULAR;0;0;0;0;0;914850;757560;144450;79193;0;3210;1;10776000;0;237540;285;45000;4,3;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2024;1;KDFW;DALLAS & FORT WORTH, TEXAS;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;8034;260;198239;0;2291;70379000;64286700;11129400;7410670;0;247320;30;1606610000;0;18276900;8537;1350000;301,667;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2024;1;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;3426;111;29290;0;959;31534300;26479600;5217080;2616950;0;115935;15;226382000;0;7412110;4080;675000;139,601;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2024;1;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;7846;194;149889;0;1487;64622800;60131700;10691300;6571990;0;237584;31;1148750000;0;11396400;8432;1395000;291,866;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2024;1;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;0;0;0;0;0;477904;462091;79065;58959;0;1757;1;17371500;0;0;272;45000;3,417;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2024;1;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;12014;294;131063;0;6829;87186600;80698000;14878200;8189020;0;329133;49;880350000;0;45870400;12980;2215000;400,863;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2024;1;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;IMPRODUTIVO;0;0;0;0;0;0;0;0;0;0;6574;1;0;0;0;0;0;8,45;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2024;1;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;18764;363;335857;0;11455;128114000;123355000;22154400;13385100;0;447032;68;2207920000;0;75305200;19488;3370000;557,413;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2024;1;MPTO;PANAMA;;;PANAMÁ;AMÉRICA CENTRAL;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;0;0;0;0;0;1449510;1200300;228870;125476;0;5086;1;17073700;0;376364;285;45000;6,667;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2024;1;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;4726;133;52225;0;97;37841200;36527300;6260490;3691840;0;139122;18;403647000;0;749713;4896;810000;176,768;0
