EMPRESA (SIGLA);EMPRESA (NOME);EMPRESA (NACIONALIDADE);ANO;MÊS;AEROPORTO DE ORIGEM (SIGLA);AEROPORTO DE ORIGEM (NOME);AEROPORTO DE ORIGEM (UF);AEROPORTO DE ORIGEM (REGIÃO);AEROPORTO DE ORIGEM (PAÍS);AEROPORTO DE ORIGEM (CONTINENTE);AEROPORTO DE DESTINO (SIGLA);AEROPORTO DE DESTINO (NOME);AEROPORTO DE DESTINO (UF);AEROPORTO DE DESTINO (REGIÃO);AEROPORTO DE DESTINO (PAÍS);AEROPORTO DE DESTINO (CONTINENTE);NATUREZA;GRUPO DE VOO;PASSAGEIROS PAGOS;PASSAGEIROS GRÁTIS;CARGA PAGA (KG);CARGA GRÁTIS (KG);CORREIO (KG);ASK;RPK;ATK;RTK;COMBUSTÍVEL (LITROS);DISTÂNCIA VOADA (KM);DECOLAGENS;CARGA PAGA KM;CARGA GRATIS KM;CORREIO KM;ASSENTOS;PAYLOAD;HORAS VOADAS;BAGAGEM (KG)
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2011;1;KAUS;AUSTIN, TEXAS;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;KDFW;DALLAS & FORT WORTH, TEXAS;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;0;0;0;0;0;75276;50184;13770;7463;;306;1;2946780;0;0;246;45000;2,5;
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2011;1;KDFW;DALLAS & FORT WORTH, TEXAS;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;2391;51;28903;0;6362;23968900;20129800;3830640;2108580;;109447;13;243334000;0;53561700;2847;455000;136,88;
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2011;1;KDFW;DALLAS & FORT WORTH, TEXAS;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;6879;95;298598;0;9302;60840700;56710500;11129400;7642250;;247320;30;2461640000;0;76685700;7380;1350000;299,5;
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2011;1;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;5130;57;47901;0;41232;47394200;38274000;7806290;4130990;;216412;28;370119000;0;316224000;6132;1010000;285,26;
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2011;1;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;NÃO REGULAR;219;1;6475;0;0;1885340;1678420;344880;200681;;7664;1;49624400;0;0;246;45000;10,22;
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2011;1;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;6232;85;174501;0;6006;52789600;46382500;9656640;5550510;;214592;28;1330070000;0;46030000;6888;1260000;270,77;
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2011;1;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;TJSJ;SAN JUAN;;;PORTO RICO;AMÉRICA CENTRAL;INTERNACIONAL;REGULAR;0;0;0;0;0;1198770;922924;206240;86375;;5156;2;2492930;0;819804;465;80000;11,37;
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2011;1;KMCO;ORLANDO, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;0;0;0;0;0;279930;265980;46500;25655;;1240;4;1719260;0;0;903;150000;9,36;
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2011;1;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;0;0;0;0;0;;;;;;;;;;;;;;
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2011;1;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBBR;BRASÍLIA;DF;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;3135;15;198;0;0;19201200;18208100;1544930;1639870;;110352;19;1149980;0;0;3306;266000;142,59;
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2011;1;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBCF;CONFINS;MG;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;3661;34;36089;0;0;25209100;23412100;4028850;2337870;;115110;18;230789000;0;0;3942;630000;144,6;
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2011;1;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;NÃO REGULAR;2695;51;41638;0;0;19123300;18102300;3056240;1908880;;87321;13;279682000;0;0;2847;455000;111,59;
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2011;1;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;6197;75;83444;0;6892;44130700;40160900;7254360;4204790;;201510;30;544030000;0;46293600;6570;1080000;264,43;
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2011;1;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;NÃO REGULAR;4863;85;117287;0;0;35598200;31969400;6212430;3648280;;151202;23;771045000;0;0;5415;945000;195,41;
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2011;1;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;22377;171;479759;0;24765;154995000;147106000;26854800;16556300;;663974;101;3153940000;0;162805000;23577;4085000;846,87;
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2011;1;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBRF;RECIFE;PE;NORDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;2335;36;108;0;0;;;;;;;;;;;;;;
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2011;1;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBSV;SALVADOR;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;2391;58;838;0;0;33224700;29570600;2890730;2667260;;187710;30;5919120;0;0;5310;462000;241,07;
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2011;1;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;TJSJ;SAN JUAN;;;PORTO RICO;AMÉRICA CENTRAL;INTERNACIONAL;REGULAR;0;0;0;0;0;368358;366676;58870;37123;;1682;1;4122580;0;0;219;35000;2,62;
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2011;1;SBBR;BRASÍLIA;DF;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;2456;20;161;0;0;19201200;14264400;1544930;1284720;;110352;19;935088;0;0;3306;266000;145,76;
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2011;1;SBCF;CONFINS;MG;SUDESTE;BRASIL;AMÉRICA DO SUL;KMCO;ORLANDO, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;0;0;0;0;0;1463140;1382970;233835;144643;;6681;1;20176600;0;0;219;35000;9,77;
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2011;1;SBCF;CONFINS;MG;SUDESTE;BRASIL;AMÉRICA DO SUL;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;3494;26;85655;0;0;23808600;21020400;3805020;2420280;;108715;17;528451000;0;0;3723;595000;138,49;
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2011;1;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;KDFW;DALLAS & FORT WORTH, TEXAS;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;2549;27;34565;0;1;23968900;21460000;3830640;2222410;;109447;13;291003000;0;8419;2847;455000;143,11;
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2011;1;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;5676;73;77958;0;0;49086900;43869800;7844940;4550810;;224141;29;602537000;0;0;6351;1015000;300,05;
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2011;1;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;NÃO REGULAR;2388;27;41065;0;0;17652300;16040200;2821140;1719450;;80604;12;275834000;0;0;2628;420000;99,39;
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2011;1;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;6456;96;243976;0;11196;45601700;43365000;7287940;5616820;;208227;31;1638790000;0;75203500;6789;1085000;279,68;
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2011;1;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;KAUS;AUSTIN, TEXAS;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;0;0;0;0;0;1989400;1326270;363915;197241;;8087;1;77877800;0;0;246;45000;12,28;
