EMPRESA (SIGLA);EMPRESA (NOME);EMPRESA (NACIONALIDADE);ANO;MÊS;AEROPORTO DE ORIGEM (SIGLA);AEROPORTO DE ORIGEM (NOME);AEROPORTO DE ORIGEM (UF);AEROPORTO DE ORIGEM (REGIÃO);AEROPORTO DE ORIGEM (PAÍS);AEROPORTO DE ORIGEM (CONTINENTE);AEROPORTO DE DESTINO (SIGLA);AEROPORTO DE DESTINO (NOME);AEROPORTO DE DESTINO (UF);AEROPORTO DE DESTINO (REGIÃO);AEROPORTO DE DESTINO (PAÍS);AEROPORTO DE DESTINO (CONTINENTE);NATUREZA;GRUPO DE VOO;PASSAGEIROS PAGOS;PASSAGEIROS GRÁTIS;CARGA PAGA (KG);CARGA GRÁTIS (KG);CORREIO (KG);ASK;RPK;ATK;RTK;COMBUSTÍVEL (LITROS);DISTÂNCIA VOADA (KM);DECOLAGENS;CARGA PAGA KM;CARGA GRATIS KM;CORREIO KM;ASSENTOS;PAYLOAD;HORAS VOADAS;BAGAGEM (KG)
1ED;SERVICIOS AÉREOS PANAMERICANOS LTDA. SARPA S.A.S;ESTRANGEIRA;2022;5;SBPA;PORTO ALEGRE;RS;SUL;BRASIL;AMÉRICA DO SUL;SKLT;LETICIA;;;COLÔMBIA;AMÉRICA DO SUL;INTERNACIONAL;NÃO REGULAR;;;;;;;;;;;;;;;;;;;
1ED;SERVICIOS AÉREOS PANAMERICANOS LTDA. SARPA S.A.S;ESTRANGEIRA;2022;5;SBPA;PORTO ALEGRE;RS;SUL;BRASIL;AMÉRICA DO SUL;SLVR;SANTA CRUZ;;;BOLÍVIA;AMÉRICA DO SUL;INTERNACIONAL;NÃO REGULAR;;;;;;128240;0;9160;0;0;1832;1;0;0;0;70;5000;2,667;
1ED;SERVICIOS AÉREOS PANAMERICANOS LTDA. SARPA S.A.S;ESTRANGEIRA;2022;5;SKLT;LETICIA;;;COLÔMBIA;AMÉRICA DO SUL;SBPA;PORTO ALEGRE;RS;SUL;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;NÃO REGULAR;;;;;;;;;;;;;;;;;;;
1ED;SERVICIOS AÉREOS PANAMERICANOS LTDA. SARPA S.A.S;ESTRANGEIRA;2022;5;SKLT;LETICIA;;;COLÔMBIA;AMÉRICA DO SUL;SLVR;SANTA CRUZ;;;BOLÍVIA;AMÉRICA DO SUL;INTERNACIONAL;NÃO REGULAR;;;;;;116830;0;8345;0;0;1669;1;0;0;0;70;5000;2,417;
1ED;SERVICIOS AÉREOS PANAMERICANOS LTDA. SARPA S.A.S;ESTRANGEIRA;2022;5;SLVR;SANTA CRUZ;;;BOLÍVIA;AMÉRICA DO SUL;SBPA;PORTO ALEGRE;RS;SUL;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;;;;;;128240;0;9160;0;0;1832;1;0;0;0;70;5000;2,667;
1ED;SERVICIOS AÉREOS PANAMERICANOS LTDA. SARPA S.A.S;ESTRANGEIRA;2022;5;SLVR;SANTA CRUZ;;;BOLÍVIA;AMÉRICA DO SUL;SKLT;LETICIA;;;COLÔMBIA;AMÉRICA DO SUL;INTERNACIONAL;NÃO REGULAR;;;;;;116830;0;8345;0;0;1669;1;0;0;0;70;5000;2,417;
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2022;1;KDFW;DALLAS & FORT WORTH, TEXAS;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;4966;317;197935;0;2101;69513400;40939700;11500400;5333660;0;255564;31;1631780000;0;17320600;8432;1395000;311,267;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2022;1;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;2218;74;21317;0;5;25212000;17142900;4173660;1707650;0;92748;12;164759000;0;38645;3262;540000;112,417;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2022;1;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;6327;222;309466;0;3327;69650400;48490100;12569000;6761340;0;229920;30;2371750000;0;25498100;9088;1640000;280,084;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2022;1;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;5561;199;139327;462;16764;47153300;37353200;9067950;4410240;0;201510;30;935860000;3103250;112604000;7020;1350000;247,067;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2022;1;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;17724;432;402988;0;4577;152714000;116518000;28662600;13165900;0;591660;90;2649240000;0;30089200;23230;4360000;726,678;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2022;1;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;2490;72;39279;0;1280;23125200;19245200;3825860;2045540;0;85019;11;303587000;0;9893120;2992;495000;108,567;0
