EMPRESA (SIGLA);EMPRESA (NOME);EMPRESA (NACIONALIDADE);ANO;MÊS;AEROPORTO DE ORIGEM (SIGLA);AEROPORTO DE ORIGEM (NOME);AEROPORTO DE ORIGEM (UF);AEROPORTO DE ORIGEM (REGIÃO);AEROPORTO DE ORIGEM (PAÍS);AEROPORTO DE ORIGEM (CONTINENTE);AEROPORTO DE DESTINO (SIGLA);AEROPORTO DE DESTINO (NOME);AEROPORTO DE DESTINO (UF);AEROPORTO DE DESTINO (REGIÃO);AEROPORTO DE DESTINO (PAÍS);AEROPORTO DE DESTINO (CONTINENTE);NATUREZA;GRUPO DE VOO;PASSAGEIROS PAGOS;PASSAGEIROS GRÁTIS;CARGA PAGA (KG);CARGA GRÁTIS (KG);CORREIO (KG);ASK;RPK;ATK;RTK;COMBUSTÍVEL (LITROS);DISTÂNCIA VOADA (KM);DECOLAGENS;CARGA PAGA KM;CARGA GRATIS KM;CORREIO KM;ASSENTOS;PAYLOAD;HORAS VOADAS;BAGAGEM (KG)
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2016;1;KDFW;DALLAS & FORT WORTH, TEXAS;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;7116;175;234114;0;59356;74113600;58664300;13149200;7699140;;239076;29;1930040000;0;489331000;8990;1595000;292,82;
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2016;1;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;4877;110;38430;0;19879;56050700;37694300;9738540;3843150;;216412;28;297025000;0;153645000;7252;1260000;274,96;
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2016;1;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;NÃO REGULAR;352;3;8473;0;0;4751680;2697730;843040;307732;;15328;2;64937100;0;0;620;110000;18,75;
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2016;1;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;7237;88;165124;0;13897;68899400;55464400;12224100;6363790;;222256;29;1265510000;0;106507000;8990;1595000;276,8;
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2016;1;KLAX;LOS ANGELES, CALIFORNIA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;5766;67;149306;0;14760;73499800;57193000;13390600;6774720;;297570;30;1480970000;0;146404000;7410;1350000;346,9;
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2016;1;KMCO;ORLANDO, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;0;0;0;0;0;53940;50840;4340;4575;;310;1;0;0;0;174;14000;1,18;
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2016;1;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;0;0;0;0;0;;;;;;;;;;;;;;
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2016;1;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBBR;BRASÍLIA;DF;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;NÃO REGULAR;121;0;0;0;0;1010590;702768;81312;63249;;5808;1;0;0;0;174;14000;7,33;
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2016;1;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBBR;BRASÍLIA;DF;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;3820;60;2554;0;0;28296600;20484800;2276740;1858450;;162624;28;14833600;0;0;4872;392000;211,07;
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2016;1;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBCF;CONFINS;MG;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;4966;57;69151;0;0;39316500;30606500;6490920;3183230;;185455;29;428663000;0;0;6148;1015000;236,88;
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2016;1;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBCT;SÃO JOSÉ DOS PINHAIS;PR;SUL;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;3267;42;60932;0;0;44895700;33732900;7175100;3669690;;205003;31;633737000;0;0;6789;1085000;265,22;
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2016;1;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBEG;MANAUS;AM;NORTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;2712;19;239;0;0;15383900;10514400;1442240;947206;;120187;31;926603;0;0;3968;372000;163,09;
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2016;1;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;NÃO REGULAR;1567;84;14618;0;7643;14871400;10525500;2720380;1096820;;60453;9;98189100;0;51338000;2214;405000;75,74;
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2016;1;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;9239;250;139416;0;30491;85097700;63267400;15046100;6849550;;335850;50;950697000;0;204808000;12669;2240000;421,89;
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2016;1;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;NÃO REGULAR;1299;28;18193;0;1097;10189700;8539630;1807850;895377;;32870;5;119601000;0;7211680;1550;275000;41,26;
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2016;1;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;22177;373;389397;0;43091;174842000;145792000;31029300;15964400;;565364;86;2559900000;0;283280000;26596;4720000;737,35;
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2016;1;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBKP;CAMPINAS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;5306;20;97052;0;0;42678700;34467800;6820800;3732530;;194880;30;630450000;0;0;6570;1050000;251,97;
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2016;1;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBPA;PORTO ALEGRE;RS;SUL;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;1834;14;34900;0;0;;;;;;;;;;;;;;
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2016;1;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBRF;RECIFE;PE;NORDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;3756;86;634;0;0;29057100;23230900;2337930;2094690;;166995;27;3921290;0;0;4698;378000;206,61;
