EMPRESA (SIGLA);EMPRESA (NOME);ANO;MÊS;AEROPORTO DE ORIGEM (SIGLA);AEROPORTO DE ORIGEM (NOME);AEROPORTO DE ORIGEM (UF);AEROPORTO DE DESTINO (SIGLA);AEROPORTO DE DESTINO (NOME);AEROPORTO DE DESTINO (UF);NATUREZA;GRUPO DE VOO;PASSAGEIROS PAGOS;PASSAGEIROS GRÁTIS;ASSENTOS
ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;2025;1;SBSV;SALVADOR;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;0;0;
ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;2025;1;SBSV;SALVADOR;BA;SDLO;CAIRU;BA;DOMÉSTICA;REGULAR;35;0;45
ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;2025;1;SBSV;SALVADOR;BA;SIRI;MARAÚ;BA;DOMÉSTICA;REGULAR;42;0;45
ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;2025;1;SBSV;SALVADOR;BA;SNCL;CAIRU;BA;DOMÉSTICA;REGULAR;453;5;828
ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;2025;1;SDLO;CAIRU;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;44;0;54
ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;2025;1;SDLO;CAIRU;BA;SIRI;MARAÚ;BA;DOMÉSTICA;REGULAR;28;0;36
ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;2025;1;SIRI;MARAÚ;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;26;0;36
ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;2025;1;SIRI;MARAÚ;BA;SDLO;CAIRU;BA;DOMÉSTICA;REGULAR;38;0;45
ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;2025;1;SNCL;CAIRU;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;689;0;828
ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;2025;2;SBSV;SALVADOR;BA;SDLO;CAIRU;BA;DOMÉSTICA;REGULAR;39;0;45
ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;2025;2;SBSV;SALVADOR;BA;SIRI;MARAÚ;BA;DOMÉSTICA;REGULAR;21;0;27
ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;2025;2;SBSV;SALVADOR;BA;SNCL;CAIRU;BA;DOMÉSTICA;REGULAR;349;1;504
ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;2025;2;SDLO;CAIRU;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;34;0;36
ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;2025;2;SDLO;CAIRU;BA;SIRI;MARAÚ;BA;DOMÉSTICA;REGULAR;29;0;45
ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;2025;2;SIRI;MARAÚ;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;28;0;45
ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;2025;2;SIRI;MARAÚ;BA;SDLO;CAIRU;BA;DOMÉSTICA;REGULAR;32;0;36
ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;2025;2;SNCL;CAIRU;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;407;1;504
ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;2025;3;SBSV;SALVADOR;BA;SDLO;CAIRU;BA;DOMÉSTICA;REGULAR;35;0;45
ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;2025;3;SBSV;SALVADOR;BA;SIRI;MARAÚ;BA;DOMÉSTICA;REGULAR;29;0;54
ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;2025;3;SBSV;SALVADOR;BA;SNCL;CAIRU;BA;DOMÉSTICA;REGULAR;344;0;432
ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;2025;3;SDLO;CAIRU;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;48;0;63
ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;2025;3;SDLO;CAIRU;BA;SIRI;MARAÚ;BA;DOMÉSTICA;REGULAR;20;0;36
ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;2025;3;SIRI;MARAÚ;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;30;0;36
ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;2025;3;SIRI;MARAÚ;BA;SDLO;CAIRU;BA;DOMÉSTICA;REGULAR;30;0;54
ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;2025;3;SNCL;CAIRU;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;382;0;432
ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;2025;4;SBSV;SALVADOR;BA;SDLO;CAIRU;BA;DOMÉSTICA;REGULAR;17;0;36
ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;2025;4;SBSV;SALVADOR;BA;SIRI;MARAÚ;BA;DOMÉSTICA;REGULAR;23;0;36
ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;2025;4;SBSV;SALVADOR;BA;SNCL;CAIRU;BA;DOMÉSTICA;REGULAR;260;1;396
ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;2025;4;SDLO;CAIRU;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;26;0;36
ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;2025;4;SDLO;CAIRU;BA;SIRI;MARAÚ;BA;DOMÉSTICA;REGULAR;17;0;36
ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;2025;4;SIRI;MARAÚ;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;16;0;36
ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;2025;4;SIRI;MARAÚ;BA;SDLO;CAIRU;BA;DOMÉSTICA;REGULAR;18;0;36
ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;2025;4;SNCL;CAIRU;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;330;1;405
ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;2025;5;SBSV;SALVADOR;BA;SDLO;CAIRU;BA;DOMÉSTICA;REGULAR;9;0;9
ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;2025;5;SBSV;SALVADOR;BA;SIRI;MARAÚ;BA;DOMÉSTICA;REGULAR;2;0;9
ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;2025;5;SBSV;SALVADOR;BA;SNCL;CAIRU;BA;DOMÉSTICA;REGULAR;156;2;369
ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;2025;5;SDLO;CAIRU;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;17;0;18
ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;2025;5;SDLO;CAIRU;BA;SIRI;MARAÚ;BA;DOMÉSTICA;REGULAR;5;0;9
ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;2025;5;SIRI;MARAÚ;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;5;0;9
ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;2025;5;SIRI;MARAÚ;BA;SDLO;CAIRU;BA;DOMÉSTICA;REGULAR;5;0;9
ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;2025;5;SNCL;CAIRU;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;247;2;360
ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;2025;5;SNCL;CAIRU;BA;SDLO;CAIRU;BA;DOMÉSTICA;REGULAR;7;0;9
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2025;1;SBAQ;ARARAQUARA;SP;SBKP;CAMPINAS;SP;DOMÉSTICA;REGULAR;192;2;468
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2025;1;SBBE;BELÉM;PA;SBCJ;PARAUAPEBAS;PA;DOMÉSTICA;REGULAR;60;0;88
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2025;1;SBBE;BELÉM;PA;SBMA;MARABÁ;PA;DOMÉSTICA;REGULAR;0;0;0
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2025;1;SBBE;BELÉM;PA;SBMD;ALMEIRIM;PA;DOMÉSTICA;REGULAR;49;0;54
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2025;1;SBBE;BELÉM;PA;SBTU;TUCURUÍ;PA;DOMÉSTICA;REGULAR;32;1;48
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2025;1;SBBE;BELÉM;PA;SNEB;PARAGOMINAS;PA;DOMÉSTICA;REGULAR;22;0;64
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2025;1;SBBE;BELÉM;PA;SNMZ;PORTO DE MOZ;PA;DOMÉSTICA;REGULAR;36;0;42
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2025;1;SBBE;BELÉM;PA;SNSM;SALINÓPOLIS;PA;DOMÉSTICA;REGULAR;7;0;56
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2025;1;SBBE;BELÉM;PA;SNVS;BREVES;PA;DOMÉSTICA;REGULAR;53;0;64
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2025;1;SBBW;BARRA DO GARÇAS;MT;SBCY;VÁRZEA GRANDE;MT;DOMÉSTICA;REGULAR;27;3;128
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2025;1;SBCF;CONFINS;MG;SBJR;RIO DE JANEIRO;RJ;DOMÉSTICA;REGULAR;638;18;954
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2025;1;SBCF;CONFINS;MG;SBKP;CAMPINAS;SP;DOMÉSTICA;REGULAR;0;0;0
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2025;1;SBCF;CONFINS;MG;SBVG;VARGINHA;MG;DOMÉSTICA;REGULAR;25;6;88
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2025;1;SBCF;CONFINS;MG;SNDV;DIVINÓPOLIS;MG;DOMÉSTICA;REGULAR;60;2;189
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2025;1;SBCF;CONFINS;MG;SNJM;MANHUAÇU;MG;DOMÉSTICA;REGULAR;3;1;63
