EMPRESA (SIGLA);EMPRESA (NOME);ANO;MÊS;AEROPORTO DE ORIGEM (SIGLA);AEROPORTO DE ORIGEM (NOME);AEROPORTO DE ORIGEM (UF);AEROPORTO DE DESTINO (SIGLA);AEROPORTO DE DESTINO (NOME);AEROPORTO DE DESTINO (UF);NATUREZA;GRUPO DE VOO;PASSAGEIROS PAGOS;PASSAGEIROS GRÁTIS;ASSENTOS
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2013;1;SBAE;AREALVA;SP;SBKP;CAMPINAS;SP;DOMÉSTICA;REGULAR;2017;49;3710
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2013;1;SBAE;AREALVA;SP;SBML;MARÍLIA;SP;DOMÉSTICA;REGULAR;5;0;3640
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2013;1;SBAR;ARACAJU;SE;SBKP;CAMPINAS;SP;DOMÉSTICA;REGULAR;1196;59;3658
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2013;1;SBAR;ARACAJU;SE;SBMO;RIO LARGO;AL;DOMÉSTICA;REGULAR;355;5;3634
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2013;1;SBAU;ARAÇATUBA;SP;SBKP;CAMPINAS;SP;DOMÉSTICA;REGULAR;4013;92;6020
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2013;1;SBBE;BELÉM;PA;SBCF;CONFINS;MG;DOMÉSTICA;REGULAR;3971;51;6862
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2013;1;SBBE;BELÉM;PA;SBEG;MANAUS;AM;DOMÉSTICA;REGULAR;1991;24;3286
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2013;1;SBBE;BELÉM;PA;SBFZ;FORTALEZA;CE;DOMÉSTICA;REGULAR;1335;25;3298
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2013;1;SBBE;BELÉM;PA;SBGL;RIO DE JANEIRO;RJ;DOMÉSTICA;REGULAR;0;0;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2013;1;SBBE;BELÉM;PA;SBKP;CAMPINAS;SP;DOMÉSTICA;REGULAR;2084;72;
