EMPRESA (SIGLA);EMPRESA (NOME);ANO;MÊS;AEROPORTO DE ORIGEM (SIGLA);AEROPORTO DE ORIGEM (NOME);AEROPORTO DE ORIGEM (UF);AEROPORTO DE DESTINO (SIGLA);AEROPORTO DE DESTINO (NOME);AEROPORTO DE DESTINO (UF);NATUREZA;GRUPO DE VOO;PASSAGEIROS PAGOS;PASSAGEIROS GRÁTIS;ASSENTOS
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2000;1;SBCV;CARAVELAS;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;12;1;15
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2000;1;SBCV;CARAVELAS;BA;SNTF;TEIXEIRA DE FREITAS;BA;DOMÉSTICA;REGULAR;1;0;120
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2000;1;SBLP;BOM JESUS DA LAPA;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;68;1;105
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2000;1;SBLP;BOM JESUS DA LAPA;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;0;2;210
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2000;1;SBSV;SALVADOR;BA;SBCV;CARAVELAS;BA;DOMÉSTICA;REGULAR;4;1;15
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2000;1;SBSV;SALVADOR;BA;SBLP;BOM JESUS DA LAPA;BA;DOMÉSTICA;REGULAR;68;0;120
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2000;1;SBSV;SALVADOR;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;39;0;195
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2000;1;SBSV;SALVADOR;BA;SNTF;TEIXEIRA DE FREITAS;BA;DOMÉSTICA;REGULAR;86;0;300
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2000;1;SNGI;GUANAMBI;BA;SBLP;BOM JESUS DA LAPA;BA;DOMÉSTICA;REGULAR;0;0;195
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2000;1;SNGI;GUANAMBI;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;34;0;210
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2000;1;SNTF;TEIXEIRA DE FREITAS;BA;SBCV;CARAVELAS;BA;DOMÉSTICA;REGULAR;3;0;120
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2000;1;SNTF;TEIXEIRA DE FREITAS;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;113;0;300
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2000;2;SBCV;CARAVELAS;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;10;1;
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2000;2;SBCV;CARAVELAS;BA;SNTF;TEIXEIRA DE FREITAS;BA;DOMÉSTICA;REGULAR;0;1;195
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2000;2;SBLP;BOM JESUS DA LAPA;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;62;0;45
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2000;2;SBLP;BOM JESUS DA LAPA;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;0;0;270
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2000;2;SBSV;SALVADOR;BA;SBCV;CARAVELAS;BA;DOMÉSTICA;REGULAR;11;1;
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2000;2;SBSV;SALVADOR;BA;SBLP;BOM JESUS DA LAPA;BA;DOMÉSTICA;REGULAR;66;0;45
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2000;2;SBSV;SALVADOR;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;60;0;270
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2000;2;SBSV;SALVADOR;BA;SNTF;TEIXEIRA DE FREITAS;BA;DOMÉSTICA;REGULAR;118;1;315
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2000;2;SNGI;GUANAMBI;BA;SBLP;BOM JESUS DA LAPA;BA;DOMÉSTICA;REGULAR;0;0;270
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2000;2;SNGI;GUANAMBI;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;67;0;270
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2000;2;SNTF;TEIXEIRA DE FREITAS;BA;SBCV;CARAVELAS;BA;DOMÉSTICA;REGULAR;0;1;180
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2000;2;SNTF;TEIXEIRA DE FREITAS;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;128;2;315
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2000;3;SBLP;BOM JESUS DA LAPA;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;61;0;15
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2000;3;SBLP;BOM JESUS DA LAPA;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;4;0;285
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2000;3;SBSV;SALVADOR;BA;SBLP;BOM JESUS DA LAPA;BA;DOMÉSTICA;REGULAR;74;0;90
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2000;3;SBSV;SALVADOR;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;53;0;210
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2000;3;SBSV;SALVADOR;BA;SNTF;TEIXEIRA DE FREITAS;BA;DOMÉSTICA;REGULAR;93;3;315
