EMPRESA (SIGLA);EMPRESA (NOME);ANO;MÊS;AEROPORTO DE ORIGEM (SIGLA);AEROPORTO DE ORIGEM (NOME);AEROPORTO DE ORIGEM (UF);AEROPORTO DE DESTINO (SIGLA);AEROPORTO DE DESTINO (NOME);AEROPORTO DE DESTINO (UF);NATUREZA;GRUPO DE VOO;PASSAGEIROS PAGOS;PASSAGEIROS GRÁTIS;ASSENTOS
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2019;1;SBAX;ARAXÁ;MG;SBBH;BELO HORIZONTE;MG;DOMÉSTICA;REGULAR;42;0;81
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2019;1;SBAX;ARAXÁ;MG;SNPD;PATOS DE MINAS;MG;DOMÉSTICA;REGULAR;0;0;
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2019;1;SBAX;ARAXÁ;MG;SNPJ;PATROCÍNIO;MG;DOMÉSTICA;REGULAR;0;0;18
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2019;1;SBBH;BELO HORIZONTE;MG;SBAX;ARAXÁ;MG;DOMÉSTICA;REGULAR;0;0;
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2019;1;SBBH;BELO HORIZONTE;MG;SBBH;BELO HORIZONTE;MG;DOMÉSTICA;REGULAR;0;0;
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2019;1;SBBH;BELO HORIZONTE;MG;SBGV;GOVERNADOR VALADARES;MG;DOMÉSTICA;REGULAR;19;0;81
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2019;1;SBBH;BELO HORIZONTE;MG;SBIP;SANTANA DO PARAÍSO;MG;DOMÉSTICA;REGULAR;26;0;90
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2019;1;SBBH;BELO HORIZONTE;MG;SBPC;POÇOS DE CALDAS;MG;DOMÉSTICA;REGULAR;13;0;54
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2019;1;SBBH;BELO HORIZONTE;MG;SBVG;VARGINHA;MG;DOMÉSTICA;REGULAR;8;0;36
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2019;1;SBBH;BELO HORIZONTE;MG;SNAR;ALMENARA;MG;DOMÉSTICA;REGULAR;7;0;9
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2019;1;SBBH;BELO HORIZONTE;MG;SNCT;UBAPORANGA;MG;DOMÉSTICA;REGULAR;15;0;135
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2019;1;SBBH;BELO HORIZONTE;MG;SNDT;DIAMANTINA;MG;DOMÉSTICA;REGULAR;17;0;63
