EMPRESA (SIGLA);EMPRESA (NOME);ANO;MÊS;AEROPORTO DE ORIGEM (SIGLA);AEROPORTO DE ORIGEM (NOME);AEROPORTO DE ORIGEM (UF);AEROPORTO DE DESTINO (SIGLA);AEROPORTO DE DESTINO (NOME);AEROPORTO DE DESTINO (UF);NATUREZA;GRUPO DE VOO;PASSAGEIROS PAGOS;PASSAGEIROS GRÁTIS;ASSENTOS
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2014;1;SBAE;AREALVA;SP;SBKP;CAMPINAS;SP;DOMÉSTICA;REGULAR;2293;112;5106
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2014;1;SBAE;AREALVA;SP;SBML;MARÍLIA;SP;DOMÉSTICA;REGULAR;0;0;280
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2014;1;SBAQ;ARARAQUARA;SP;SBKP;CAMPINAS;SP;DOMÉSTICA;REGULAR;1934;76;2828
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2014;1;SBAR;ARACAJU;SE;SBCF;CONFINS;MG;DOMÉSTICA;REGULAR;1152;41;472
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2014;1;SBAR;ARACAJU;SE;SBFN;FERNANDO DE NORONHA;PE;DOMÉSTICA;REGULAR;26;0;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2014;1;SBAR;ARACAJU;SE;SBKP;CAMPINAS;SP;DOMÉSTICA;REGULAR;3377;88;3528
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2014;1;SBAR;ARACAJU;SE;SBMO;RIO LARGO;AL;DOMÉSTICA;REGULAR;663;11;7304
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2014;1;SBAR;ARACAJU;SE;SBRF;RECIFE;PE;DOMÉSTICA;REGULAR;2039;30;3332
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2014;1;SBAR;ARACAJU;SE;SBSG;SÃO GONÇALO DO AMARANTE;RN;DOMÉSTICA;REGULAR;281;4;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2014;1;SBAR;ARACAJU;SE;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;2823;28;3636
