EMPRESA (SIGLA);EMPRESA (NOME);ANO;MÊS;AEROPORTO DE ORIGEM (SIGLA);AEROPORTO DE ORIGEM (NOME);AEROPORTO DE ORIGEM (UF);AEROPORTO DE DESTINO (SIGLA);AEROPORTO DE DESTINO (NOME);AEROPORTO DE DESTINO (UF);NATUREZA;GRUPO DE VOO;PASSAGEIROS PAGOS;PASSAGEIROS GRÁTIS;ASSENTOS
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2012;1;SBSV;SALVADOR;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;50;0;165
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2012;1;SNGI;GUANAMBI;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;43;0;165
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2012;2;SBSV;SALVADOR;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;39;0;120
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2012;2;SNGI;GUANAMBI;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;44;0;120
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2012;1;SBAR;ARACAJU;SE;SBKP;CAMPINAS;SP;DOMÉSTICA;REGULAR;904;59;3646
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2012;1;SBAR;ARACAJU;SE;SBMO;RIO LARGO;AL;DOMÉSTICA;REGULAR;485;0;3658
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2012;1;SBAR;ARACAJU;SE;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;0;0;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2012;1;SBAU;ARAÇATUBA;SP;SBKP;CAMPINAS;SP;DOMÉSTICA;REGULAR;4007;71;5482
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2012;1;SBBE;BELÉM;PA;SBCF;CONFINS;MG;DOMÉSTICA;REGULAR;1873;13;3422
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2012;1;SBBE;BELÉM;PA;SBEG;MANAUS;AM;DOMÉSTICA;REGULAR;2117;26;3286
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2012;1;SBBE;BELÉM;PA;SBFZ;FORTALEZA;CE;DOMÉSTICA;REGULAR;1261;13;3286
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2012;1;SBBE;BELÉM;PA;SBKP;CAMPINAS;SP;DOMÉSTICA;REGULAR;1136;52;118
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2012;1;SBBE;BELÉM;PA;SBRF;RECIFE;PE;DOMÉSTICA;REGULAR;313;5;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2012;1;SBBE;BELÉM;PA;SBRJ;RIO DE JANEIRO;RJ;DOMÉSTICA;REGULAR;31;0;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2012;1;SBBE;BELÉM;PA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;21;4;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2012;1;SBBR;BRASÍLIA;DF;SBKP;CAMPINAS;SP;DOMÉSTICA;REGULAR;8035;242;10130
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2012;1;SBBR;BRASÍLIA;DF;SBPA;PORTO ALEGRE;RS;DOMÉSTICA;REGULAR;141;5;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2012;1;SBCF;CONFINS;MG;SBBE;BELÉM;PA;DOMÉSTICA;REGULAR;2248;24;3658
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2012;1;SBCF;CONFINS;MG;SBCT;SÃO JOSÉ DOS PINHAIS;PR;DOMÉSTICA;REGULAR;91;1;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2012;1;SBCF;CONFINS;MG;SBFZ;FORTALEZA;CE;DOMÉSTICA;REGULAR;2118;20;3646
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2012;1;SBCF;CONFINS;MG;SBGL;RIO DE JANEIRO;RJ;DOMÉSTICA;REGULAR;7779;90;10266
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2012;1;SBCF;CONFINS;MG;SBGO;GOIÂNIA;GO;DOMÉSTICA;REGULAR;3638;31;6726
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2012;1;SBCF;CONFINS;MG;SBIL;ILHÉUS;BA;DOMÉSTICA;REGULAR;621;0;1014
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2012;1;SBCF;CONFINS;MG;SBKP;CAMPINAS;SP;DOMÉSTICA;REGULAR;17513;483;23466
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2012;1;SBCF;CONFINS;MG;SBNT;PARNAMIRIM;RN;DOMÉSTICA;REGULAR;470;0;472
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2012;1;SBCF;CONFINS;MG;SBPA;PORTO ALEGRE;RS;DOMÉSTICA;REGULAR;3657;42;6124
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2012;1;SBCF;CONFINS;MG;SBPS;PORTO SEGURO;BA;DOMÉSTICA;REGULAR;2713;23;3358
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2012;1;SBCF;CONFINS;MG;SBRF;RECIFE;PE;DOMÉSTICA;REGULAR;3184;25;3646
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2012;1;SBCF;CONFINS;MG;SBSJ;SÃO JOSÉ DOS CAMPOS;SP;DOMÉSTICA;REGULAR;2154;20;2466
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2012;1;SBCF;CONFINS;MG;SBSL;SÃO LUÍS;MA;DOMÉSTICA;REGULAR;4728;56;6438
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2012;1;SBCF;CONFINS;MG;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;5221;32;7198
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2012;1;SBCF;CONFINS;MG;SBTE;TERESINA;PI;DOMÉSTICA;REGULAR;0;0;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2012;1;SBCF;CONFINS;MG;SBVT;VITÓRIA;ES;DOMÉSTICA;REGULAR;10303;75;12040
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2012;1;SBCG;CAMPO GRANDE;MS;SBGL;RIO DE JANEIRO;RJ;DOMÉSTICA;REGULAR;0;0;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2012;1;SBCG;CAMPO GRANDE;MS;SBKP;CAMPINAS;SP;DOMÉSTICA;REGULAR;11005;224;13246
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2012;1;SBCG;CAMPO GRANDE;MS;SBRJ;RIO DE JANEIRO;RJ;DOMÉSTICA;REGULAR;493;6;
