EMPRESA (SIGLA);EMPRESA (NOME);ANO;MÊS;AEROPORTO DE ORIGEM (SIGLA);AEROPORTO DE ORIGEM (NOME);AEROPORTO DE ORIGEM (UF);AEROPORTO DE DESTINO (SIGLA);AEROPORTO DE DESTINO (NOME);AEROPORTO DE DESTINO (UF);NATUREZA;GRUPO DE VOO;PASSAGEIROS PAGOS;PASSAGEIROS GRÁTIS;ASSENTOS
ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;2021;12;SBSV;SALVADOR;BA;SIRI;MARAÚ;BA;DOMÉSTICA;REGULAR;70;1;117
ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;2021;12;SBSV;SALVADOR;BA;SNCL;CAIRU;BA;DOMÉSTICA;REGULAR;220;0;270
ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;2021;12;SIRI;MARAÚ;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;29;0;99
ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;2021;12;SNCL;CAIRU;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;130;0;279
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;1;SBAR;ARACAJU;SE;SBCF;CONFINS;MG;DOMÉSTICA;REGULAR;0;0;
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;1;SBAR;ARACAJU;SE;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;0;0;0
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;1;SBAR;ARACAJU;SE;SBVC;VITÓRIA DA CONQUISTA;BA;DOMÉSTICA;REGULAR;0;0;
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;1;SBBE;BELÉM;PA;SBBE;BELÉM;PA;DOMÉSTICA;REGULAR;0;0;
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;1;SBBE;BELÉM;PA;SBMD;ALMEIRIM;PA;DOMÉSTICA;REGULAR;101;0;162
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;1;SBBE;BELÉM;PA;SBSN;SANTARÉM;PA;DOMÉSTICA;REGULAR;23;0;45
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;1;SBBE;BELÉM;PA;SNMZ;PORTO DE MOZ;PA;DOMÉSTICA;REGULAR;14;0;27
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;1;SBBE;BELÉM;PA;SNVS;BREVES;PA;DOMÉSTICA;REGULAR;91;0;180
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;1;SBBE;BELÉM;PA;SNYA;ALMEIRIM;PA;DOMÉSTICA;REGULAR;0;0;
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;1;SBBW;BARRA DO GARÇAS;MT;SBCY;VÁRZEA GRANDE;MT;DOMÉSTICA;REGULAR;156;0;198
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;1;SBBW;BARRA DO GARÇAS;MT;SBGO;GOIÂNIA;GO;DOMÉSTICA;REGULAR;10;0;18
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;1;SBCF;CONFINS;MG;SBFZ;FORTALEZA;CE;DOMÉSTICA;REGULAR;0;0;
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;1;SBCF;CONFINS;MG;SBJD;JUNDIAÍ;SP;DOMÉSTICA;REGULAR;0;0;0
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;1;SBCF;CONFINS;MG;SBMK;MONTES CLAROS;MG;DOMÉSTICA;REGULAR;0;0;0
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;1;SBCF;CONFINS;MG;SBPL;PETROLINA;PE;DOMÉSTICA;REGULAR;0;0;
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;1;SBCF;CONFINS;MG;SBRF;RECIFE;PE;DOMÉSTICA;REGULAR;0;0;
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;1;SBCF;CONFINS;MG;SBRJ;RIO DE JANEIRO;RJ;DOMÉSTICA;REGULAR;0;0;9
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;1;SBCF;CONFINS;MG;SBSG;SÃO GONÇALO DO AMARANTE;RN;DOMÉSTICA;REGULAR;0;0;
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;1;SBCF;CONFINS;MG;SNGA;GUARAPARI;ES;DOMÉSTICA;REGULAR;160;0;252
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;1;SBCP;CAMPOS DOS GOYTACAZES;RJ;SBRJ;RIO DE JANEIRO;RJ;DOMÉSTICA;REGULAR;228;0;360
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;1;SBCY;VÁRZEA GRANDE;MT;SBBW;BARRA DO GARÇAS;MT;DOMÉSTICA;REGULAR;144;0;189
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;1;SBCY;VÁRZEA GRANDE;MT;SSOU;ARIPUANÃ;MT;DOMÉSTICA;REGULAR;0;0;
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;1;SBCY;VÁRZEA GRANDE;MT;SWHP;ÁGUA BOA;MT;DOMÉSTICA;REGULAR;72;0;90
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;1;SBCY;VÁRZEA GRANDE;MT;SWJN;JUÍNA;MT;DOMÉSTICA;REGULAR;61;0;63
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;1;SBCY;VÁRZEA GRANDE;MT;SWTS;TANGARÁ DA SERRA;MT;DOMÉSTICA;REGULAR;13;0;18
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;1;SBEG;MANAUS;AM;SBEG;MANAUS;AM;DOMÉSTICA;REGULAR;0;0;
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;1;SBEG;MANAUS;AM;SBPV;PORTO VELHO;RO;DOMÉSTICA;REGULAR;2;0;9
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;1;SBEG;MANAUS;AM;SWKO;COARI;AM;DOMÉSTICA;REGULAR;89;0;117
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;1;SBEG;MANAUS;AM;SWLB;LÁBREA;AM;DOMÉSTICA;REGULAR;41;0;90
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;1;SBEG;MANAUS;AM;SWMW;MAUÉS;AM;DOMÉSTICA;REGULAR;3;0;9
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;1;SBEG;MANAUS;AM;SWPI;PARINTINS;AM;DOMÉSTICA;REGULAR;85;0;198
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;1;SBFZ;FORTALEZA;CE;SBJE;CRUZ;CE;DOMÉSTICA;REGULAR;771;0;1071
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;1;SBFZ;FORTALEZA;CE;SBRF;RECIFE;PE;DOMÉSTICA;REGULAR;0;0;
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;1;SBFZ;FORTALEZA;CE;SBSG;SÃO GONÇALO DO AMARANTE;RN;DOMÉSTICA;REGULAR;0;0;0
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;1;SBGL;RIO DE JANEIRO;RJ;SBSP;SÃO PAULO;SP;DOMÉSTICA;REGULAR;0;0;9
