EMPRESA (SIGLA);EMPRESA (NOME);ANO;MÊS;AEROPORTO DE ORIGEM (SIGLA);AEROPORTO DE ORIGEM (NOME);AEROPORTO DE ORIGEM (UF);AEROPORTO DE DESTINO (SIGLA);AEROPORTO DE DESTINO (NOME);AEROPORTO DE DESTINO (UF);NATUREZA;GRUPO DE VOO;PASSAGEIROS PAGOS;PASSAGEIROS GRÁTIS;ASSENTOS
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2003;1;SBLP;BOM JESUS DA LAPA;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;89;0;90
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2003;1;SBLP;BOM JESUS DA LAPA;BA;SNBR;BARREIRAS;BA;DOMÉSTICA;REGULAR;19;0;105
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2003;1;SBLP;BOM JESUS DA LAPA;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;53;0;180
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2003;1;SBSV;SALVADOR;BA;SBLP;BOM JESUS DA LAPA;BA;DOMÉSTICA;REGULAR;96;0;135
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2003;1;SBSV;SALVADOR;BA;SNBR;BARREIRAS;BA;DOMÉSTICA;REGULAR;94;0;225
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2003;1;SBSV;SALVADOR;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;40;0;150
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2003;1;SBSV;SALVADOR;BA;SNVR;VERA CRUZ;BA;DOMÉSTICA;REGULAR;0;0;15
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2003;1;SNBR;BARREIRAS;BA;SBLP;BOM JESUS DA LAPA;BA;DOMÉSTICA;REGULAR;20;0;105
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2003;1;SNBR;BARREIRAS;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;84;0;225
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2003;1;SNGI;GUANAMBI;BA;SBLP;BOM JESUS DA LAPA;BA;DOMÉSTICA;REGULAR;26;0;150
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2003;1;SNGI;GUANAMBI;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;58;0;165
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2003;2;SBLP;BOM JESUS DA LAPA;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;77;0;30
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2003;2;SBLP;BOM JESUS DA LAPA;BA;SNBR;BARREIRAS;BA;DOMÉSTICA;REGULAR;5;0;15
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2003;2;SBLP;BOM JESUS DA LAPA;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;116;0;240
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2003;2;SBSV;SALVADOR;BA;SBLP;BOM JESUS DA LAPA;BA;DOMÉSTICA;REGULAR;123;0;90
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2003;2;SBSV;SALVADOR;BA;SNBR;BARREIRAS;BA;DOMÉSTICA;REGULAR;120;0;270
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2003;2;SBSV;SALVADOR;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;60;0;210
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2003;2;SNBR;BARREIRAS;BA;SBLP;BOM JESUS DA LAPA;BA;DOMÉSTICA;REGULAR;2;0;15
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2003;2;SNBR;BARREIRAS;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;122;0;270
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2003;2;SNBR;BARREIRAS;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;1;0;15
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2003;2;SNGI;GUANAMBI;BA;SBLP;BOM JESUS DA LAPA;BA;DOMÉSTICA;REGULAR;41;0;195
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2003;2;SNGI;GUANAMBI;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;86;0;255
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2003;2;SNGI;GUANAMBI;BA;SNBR;BARREIRAS;BA;DOMÉSTICA;REGULAR;3;0;15
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2003;3;SBLP;BOM JESUS DA LAPA;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;105;0;30
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2003;3;SBLP;BOM JESUS DA LAPA;BA;SNBR;BARREIRAS;BA;DOMÉSTICA;REGULAR;24;0;90
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2003;3;SBLP;BOM JESUS DA LAPA;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;46;0;210
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2003;3;SBPL;PETROLINA;PE;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;15;0;105
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2003;3;SBSV;SALVADOR;BA;SBLP;BOM JESUS DA LAPA;BA;DOMÉSTICA;REGULAR;96;0;45
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2003;3;SBSV;SALVADOR;BA;SBPL;PETROLINA;PE;DOMÉSTICA;REGULAR;13;0;105
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2003;3;SBSV;SALVADOR;BA;SNBR;BARREIRAS;BA;DOMÉSTICA;REGULAR;79;0;180
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2003;3;SBSV;SALVADOR;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;48;0;195
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2003;3;SNBR;BARREIRAS;BA;SBLP;BOM JESUS DA LAPA;BA;DOMÉSTICA;REGULAR;14;0;75
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2003;3;SNBR;BARREIRAS;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;69;0;165
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2003;3;SNBR;BARREIRAS;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;8;0;15
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2003;3;SNGI;GUANAMBI;BA;SBLP;BOM JESUS DA LAPA;BA;DOMÉSTICA;REGULAR;27;0;180
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2003;3;SNGI;GUANAMBI;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;65;0;225
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2003;3;SNGI;GUANAMBI;BA;SNBR;BARREIRAS;BA;DOMÉSTICA;REGULAR;7;0;15
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2003;4;SBLP;BOM JESUS DA LAPA;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;69;0;75
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2003;4;SBLP;BOM JESUS DA LAPA;BA;SNBR;BARREIRAS;BA;DOMÉSTICA;REGULAR;10;0;45
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2003;4;SBLP;BOM JESUS DA LAPA;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;56;0;165
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2003;4;SBPL;PETROLINA;PE;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;5;0;30
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2003;4;SBSV;SALVADOR;BA;SBLP;BOM JESUS DA LAPA;BA;DOMÉSTICA;REGULAR;97;0;60
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2003;4;SBSV;SALVADOR;BA;SBPL;PETROLINA;PE;DOMÉSTICA;REGULAR;5;0;30
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2003;4;SBSV;SALVADOR;BA;SNBR;BARREIRAS;BA;DOMÉSTICA;REGULAR;99;0;210
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2003;4;SBSV;SALVADOR;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;73;0;195
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2003;4;SNBR;BARREIRAS;BA;SBLP;BOM JESUS DA LAPA;BA;DOMÉSTICA;REGULAR;22;0;90
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2003;4;SNBR;BARREIRAS;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;92;0;195
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2003;4;SNGI;GUANAMBI;BA;SBLP;BOM JESUS DA LAPA;BA;DOMÉSTICA;REGULAR;35;0;180
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2003;4;SNGI;GUANAMBI;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;72;0;195
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2003;4;SNGI;GUANAMBI;BA;SNBR;BARREIRAS;BA;DOMÉSTICA;REGULAR;15;0;30
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2003;5;SBLP;BOM JESUS DA LAPA;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;106;0;
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2003;5;SBLP;BOM JESUS DA LAPA;BA;SNBR;BARREIRAS;BA;DOMÉSTICA;REGULAR;17;0;45
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2003;5;SBLP;BOM JESUS DA LAPA;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;65;0;240
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2003;5;SBSV;SALVADOR;BA;SBLP;BOM JESUS DA LAPA;BA;DOMÉSTICA;REGULAR;57;0;30
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2003;5;SBSV;SALVADOR;BA;SNBR;BARREIRAS;BA;DOMÉSTICA;REGULAR;133;0;255
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2003;5;SBSV;SALVADOR;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;41;0;120
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2003;5;SNBR;BARREIRAS;BA;SBLP;BOM JESUS DA LAPA;BA;DOMÉSTICA;REGULAR;58;0;150
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2003;5;SNBR;BARREIRAS;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;81;0;165
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2003;5;SNGI;GUANAMBI;BA;SBLP;BOM JESUS DA LAPA;BA;DOMÉSTICA;REGULAR;18;0;105
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2003;5;SNGI;GUANAMBI;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;69;0;240
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2003;5;SNGI;GUANAMBI;BA;SNBR;BARREIRAS;BA;DOMÉSTICA;REGULAR;9;0;15
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2003;6;SBLP;BOM JESUS DA LAPA;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;66;0;15
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2003;6;SBLP;BOM JESUS DA LAPA;BA;SNBR;BARREIRAS;BA;DOMÉSTICA;REGULAR;8;0;15
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2003;6;SBLP;BOM JESUS DA LAPA;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;34;0;120
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2003;6;SBSV;SALVADOR;BA;SBLP;BOM JESUS DA LAPA;BA;DOMÉSTICA;REGULAR;25;0;
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2003;6;SBSV;SALVADOR;BA;SNBR;BARREIRAS;BA;DOMÉSTICA;REGULAR;109;0;225
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2003;6;SBSV;SALVADOR;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;58;0;120
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2003;6;SNBR;BARREIRAS;BA;SBLP;BOM JESUS DA LAPA;BA;DOMÉSTICA;REGULAR;29;0;105
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2003;6;SNBR;BARREIRAS;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;77;0;120
