EMPRESA (SIGLA);EMPRESA (NOME);ANO;MÊS;AEROPORTO DE ORIGEM (SIGLA);AEROPORTO DE ORIGEM (NOME);AEROPORTO DE ORIGEM (UF);AEROPORTO DE DESTINO (SIGLA);AEROPORTO DE DESTINO (NOME);AEROPORTO DE DESTINO (UF);NATUREZA;GRUPO DE VOO;PASSAGEIROS PAGOS;PASSAGEIROS GRÁTIS;ASSENTOS
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2017;1;SBAE;AREALVA;SP;SBKP;CAMPINAS;SP;DOMÉSTICA;REGULAR;2647;72;4174
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2017;1;SBAE;AREALVA;SP;SBML;MARÍLIA;SP;DOMÉSTICA;REGULAR;10;17;3556
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2017;1;SBAR;ARACAJU;SE;SBCF;CONFINS;MG;DOMÉSTICA;REGULAR;1202;42;1416
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2017;1;SBAR;ARACAJU;SE;SBKP;CAMPINAS;SP;DOMÉSTICA;REGULAR;4965;144;7282
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2017;1;SBAR;ARACAJU;SE;SBRF;RECIFE;PE;DOMÉSTICA;REGULAR;4574;66;5930
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2017;1;SBAR;ARACAJU;SE;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;2656;52;3212
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2017;1;SBAT;ALTA FLORESTA;MT;SBCY;VÁRZEA GRANDE;MT;DOMÉSTICA;REGULAR;2799;51;3598
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2017;1;SBAU;ARAÇATUBA;SP;SBKP;CAMPINAS;SP;DOMÉSTICA;REGULAR;3388;146;4242
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2017;1;SBAX;ARAXÁ;MG;SBCF;CONFINS;MG;DOMÉSTICA;REGULAR;160;13;280
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2017;1;SBBE;BELÉM;PA;SBCF;CONFINS;MG;DOMÉSTICA;REGULAR;7274;363;8716
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2017;1;SBBE;BELÉM;PA;SBEG;MANAUS;AM;DOMÉSTICA;REGULAR;3014;75;1062
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2017;1;SBBE;BELÉM;PA;SBFZ;FORTALEZA;CE;DOMÉSTICA;REGULAR;1099;21;236
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2017;1;SBBE;BELÉM;PA;SBHT;ALTAMIRA;PA;DOMÉSTICA;REGULAR;4195;130;6402
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2017;1;SBBE;BELÉM;PA;SBKP;CAMPINAS;SP;DOMÉSTICA;REGULAR;1095;48;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2017;1;SBBE;BELÉM;PA;SBMA;MARABÁ;PA;DOMÉSTICA;REGULAR;2026;56;4660
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2017;1;SBBE;BELÉM;PA;SBMQ;MACAPÁ;AP;DOMÉSTICA;REGULAR;8315;79;9794
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2017;1;SBBE;BELÉM;PA;SBRF;RECIFE;PE;DOMÉSTICA;REGULAR;2132;51;3174
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2017;1;SBBE;BELÉM;PA;SBSL;SÃO LUÍS;MA;DOMÉSTICA;REGULAR;2778;59;6062
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2017;1;SBBE;BELÉM;PA;SBSN;SANTARÉM;PA;DOMÉSTICA;REGULAR;4068;81;9298
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2017;1;SBBR;BRASÍLIA;DF;SBAE;AREALVA;SP;DOMÉSTICA;REGULAR;29;4;118
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2017;1;SBBR;BRASÍLIA;DF;SBCF;CONFINS;MG;DOMÉSTICA;REGULAR;7904;294;10702
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2017;1;SBBR;BRASÍLIA;DF;SBCY;VÁRZEA GRANDE;MT;DOMÉSTICA;REGULAR;1872;25;2596
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2017;1;SBBR;BRASÍLIA;DF;SBGR;GUARULHOS;SP;DOMÉSTICA;REGULAR;2964;44;3646
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2017;1;SBBR;BRASÍLIA;DF;SBKP;CAMPINAS;SP;DOMÉSTICA;REGULAR;12144;450;14570
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2017;1;SBBV;BOA VISTA;RR;SBEG;MANAUS;AM;DOMÉSTICA;REGULAR;2708;37;4602
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2017;1;SBBV;BOA VISTA;RR;SBKP;CAMPINAS;SP;DOMÉSTICA;REGULAR;983;30;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2017;1;SBBW;BARRA DO GARÇAS;MT;SBCY;VÁRZEA GRANDE;MT;DOMÉSTICA;REGULAR;714;35;908
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2017;1;SBCA;CASCAVEL;PR;SBCT;SÃO JOSÉ DOS PINHAIS;PR;DOMÉSTICA;REGULAR;1655;56;2020
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2017;1;SBCA;CASCAVEL;PR;SBJV;JOINVILLE;SC;DOMÉSTICA;REGULAR;61;0;70
