EMPRESA (SIGLA);EMPRESA (NOME);ANO;MÊS;AEROPORTO DE ORIGEM (SIGLA);AEROPORTO DE ORIGEM (NOME);AEROPORTO DE ORIGEM (UF);AEROPORTO DE DESTINO (SIGLA);AEROPORTO DE DESTINO (NOME);AEROPORTO DE DESTINO (UF);NATUREZA;GRUPO DE VOO;PASSAGEIROS PAGOS;PASSAGEIROS GRÁTIS;ASSENTOS
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2009;1;SBLP;BOM JESUS DA LAPA;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;24;0;
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2009;1;SBLP;BOM JESUS DA LAPA;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;36;0;168
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2009;1;SBSV;SALVADOR;BA;SBLP;BOM JESUS DA LAPA;BA;DOMÉSTICA;REGULAR;37;0;168
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2009;1;SBSV;SALVADOR;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;37;0;
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2009;1;SNGI;GUANAMBI;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;66;0;168
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2009;2;SBLP;BOM JESUS DA LAPA;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;24;0;28
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2009;2;SBLP;BOM JESUS DA LAPA;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;21;0;112
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2009;2;SBSV;SALVADOR;BA;SBLP;BOM JESUS DA LAPA;BA;DOMÉSTICA;REGULAR;24;0;126
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2009;2;SBSV;SALVADOR;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;37;0;14
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2009;2;SNGI;GUANAMBI;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;47;0;112
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2009;3;SBLP;BOM JESUS DA LAPA;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;17;0;
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2009;3;SBLP;BOM JESUS DA LAPA;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;49;0;182
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2009;3;SBSV;SALVADOR;BA;SBLP;BOM JESUS DA LAPA;BA;DOMÉSTICA;REGULAR;50;0;168
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2009;3;SBSV;SALVADOR;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;61;0;
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2009;3;SNGI;GUANAMBI;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;92;0;182
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2009;4;SBLP;BOM JESUS DA LAPA;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;24;0;
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2009;4;SBLP;BOM JESUS DA LAPA;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;49;0;196
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2009;4;SBQV;VITÓRIA DA CONQUISTA;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;6;0;14
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2009;4;SBSV;SALVADOR;BA;SBLP;BOM JESUS DA LAPA;BA;DOMÉSTICA;REGULAR;46;0;196
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2009;4;SBSV;SALVADOR;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;56;0;14
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2009;4;SNGI;GUANAMBI;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;119;0;210
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2009;5;SBLP;BOM JESUS DA LAPA;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;17;0;
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2009;5;SBLP;BOM JESUS DA LAPA;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;67;0;196
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2009;5;SBSV;SALVADOR;BA;SBLP;BOM JESUS DA LAPA;BA;DOMÉSTICA;REGULAR;48;0;196
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2009;5;SBSV;SALVADOR;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;70;0;14
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2009;5;SNGI;GUANAMBI;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;125;0;210
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2009;6;SBLP;BOM JESUS DA LAPA;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;13;0;
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2009;6;SBLP;BOM JESUS DA LAPA;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;39;0;154
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2009;6;SBSV;SALVADOR;BA;SBLP;BOM JESUS DA LAPA;BA;DOMÉSTICA;REGULAR;33;0;154
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2009;6;SBSV;SALVADOR;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;50;0;42
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2009;6;SNGI;GUANAMBI;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;65;0;182
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2009;7;SBLP;BOM JESUS DA LAPA;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;23;0;
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2009;7;SBLP;BOM JESUS DA LAPA;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;51;0;210
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2009;7;SBSV;SALVADOR;BA;SBLP;BOM JESUS DA LAPA;BA;DOMÉSTICA;REGULAR;44;0;196
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2009;7;SBSV;SALVADOR;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;65;0;42
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2009;7;SNBR;BARREIRAS;BA;SBLP;BOM JESUS DA LAPA;BA;DOMÉSTICA;REGULAR;1;0;14
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2009;7;SNBR;BARREIRAS;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;0;0;
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2009;7;SNBR;BARREIRAS;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;9;0;
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2009;7;SNGI;GUANAMBI;BA;SBLP;BOM JESUS DA LAPA;BA;DOMÉSTICA;REGULAR;1;0;14
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2009;7;SNGI;GUANAMBI;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;102;0;252
