EMPRESA (SIGLA);EMPRESA (NOME);ANO;MÊS;AEROPORTO DE ORIGEM (SIGLA);AEROPORTO DE ORIGEM (NOME);AEROPORTO DE ORIGEM (UF);AEROPORTO DE DESTINO (SIGLA);AEROPORTO DE DESTINO (NOME);AEROPORTO DE DESTINO (UF);NATUREZA;GRUPO DE VOO;PASSAGEIROS PAGOS;PASSAGEIROS GRÁTIS;ASSENTOS
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2011;1;SBLP;BOM JESUS DA LAPA;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;32;0;
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2011;1;SBLP;BOM JESUS DA LAPA;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;19;0;168
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2011;1;SBSV;SALVADOR;BA;SBLP;BOM JESUS DA LAPA;BA;DOMÉSTICA;REGULAR;61;0;168
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2011;1;SBSV;SALVADOR;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;25;0;14
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2011;1;SNGI;GUANAMBI;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;52;1;182
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2011;2;SBLP;BOM JESUS DA LAPA;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;41;0;
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2011;2;SBLP;BOM JESUS DA LAPA;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;14;0;169
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2011;2;SBSV;SALVADOR;BA;SBLP;BOM JESUS DA LAPA;BA;DOMÉSTICA;REGULAR;62;0;169
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2011;2;SBSV;SALVADOR;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;35;0;
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2011;2;SNGI;GUANAMBI;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;58;0;169
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2011;3;SBLP;BOM JESUS DA LAPA;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;33;0;
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2011;3;SBLP;BOM JESUS DA LAPA;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;25;1;196
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2011;3;SBSV;SALVADOR;BA;SBLP;BOM JESUS DA LAPA;BA;DOMÉSTICA;REGULAR;60;0;196
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2011;3;SBSV;SALVADOR;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;20;0;
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2011;3;SNGI;GUANAMBI;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;67;0;196
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2011;4;SBLP;BOM JESUS DA LAPA;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;38;0;
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2011;4;SBLP;BOM JESUS DA LAPA;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;23;0;234
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2011;4;SBSV;SALVADOR;BA;SBLP;BOM JESUS DA LAPA;BA;DOMÉSTICA;REGULAR;48;0;220
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2011;4;SBSV;SALVADOR;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;48;0;
