EMPRESA (SIGLA);EMPRESA (NOME);ANO;MÊS;AEROPORTO DE ORIGEM (SIGLA);AEROPORTO DE ORIGEM (NOME);AEROPORTO DE ORIGEM (UF);AEROPORTO DE DESTINO (SIGLA);AEROPORTO DE DESTINO (NOME);AEROPORTO DE DESTINO (UF);NATUREZA;GRUPO DE VOO;PASSAGEIROS PAGOS;PASSAGEIROS GRÁTIS;ASSENTOS
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2016;1;SBAE;AREALVA;SP;SBKP;CAMPINAS;SP;DOMÉSTICA;REGULAR;1938;98;2722
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2016;1;SBAE;AREALVA;SP;SBML;MARÍLIA;SP;DOMÉSTICA;REGULAR;1;4;1602
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2016;1;SBAE;AREALVA;SP;SBRP;RIBEIRÃO PRETO;SP;DOMÉSTICA;REGULAR;57;5;70
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2016;1;SBAR;ARACAJU;SE;SBKP;CAMPINAS;SP;DOMÉSTICA;REGULAR;459;17;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2016;1;SBAR;ARACAJU;SE;SBMO;RIO LARGO;AL;DOMÉSTICA;REGULAR;564;39;3658
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2016;1;SBAR;ARACAJU;SE;SBRF;RECIFE;PE;DOMÉSTICA;REGULAR;2604;30;3286
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2016;1;SBAR;ARACAJU;SE;SBSG;SÃO GONÇALO DO AMARANTE;RN;DOMÉSTICA;REGULAR;126;0;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2016;1;SBAT;ALTA FLORESTA;MT;SBCY;VÁRZEA GRANDE;MT;DOMÉSTICA;REGULAR;2646;47;3782
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2016;1;SBAU;ARAÇATUBA;SP;SBKP;CAMPINAS;SP;DOMÉSTICA;REGULAR;3477;145;4602
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2016;1;SBAX;ARAXÁ;MG;SBCF;CONFINS;MG;DOMÉSTICA;REGULAR;169;9;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2016;1;SBAX;ARAXÁ;MG;SNPD;PATOS DE MINAS;MG;DOMÉSTICA;REGULAR;1;0;280
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2016;1;SBBE;BELÉM;PA;SBCF;CONFINS;MG;DOMÉSTICA;REGULAR;5179;316;6831
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2016;1;SBBE;BELÉM;PA;SBEG;MANAUS;AM;DOMÉSTICA;REGULAR;4311;80;3540
