EMPRESA (SIGLA);EMPRESA (NOME);ANO;MÊS;AEROPORTO DE ORIGEM (SIGLA);AEROPORTO DE ORIGEM (NOME);AEROPORTO DE ORIGEM (UF);AEROPORTO DE DESTINO (SIGLA);AEROPORTO DE DESTINO (NOME);AEROPORTO DE DESTINO (UF);NATUREZA;GRUPO DE VOO;PASSAGEIROS PAGOS;PASSAGEIROS GRÁTIS;ASSENTOS
ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;2023;1;SBSV;SALVADOR;BA;SIRI;MARAÚ;BA;DOMÉSTICA;REGULAR;29;0;90
ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;2023;1;SBSV;SALVADOR;BA;SNCL;CAIRU;BA;DOMÉSTICA;REGULAR;253;3;576
ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;2023;1;SIRI;MARAÚ;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;54;0;90
ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;2023;1;SNCL;CAIRU;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;457;3;576
ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;2023;2;SBSV;SALVADOR;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;4;0;9
ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;2023;2;SBSV;SALVADOR;BA;SIRI;MARAÚ;BA;DOMÉSTICA;REGULAR;39;0;72
ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;2023;2;SBSV;SALVADOR;BA;SNCL;CAIRU;BA;DOMÉSTICA;REGULAR;273;5;468
ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;2023;2;SIRI;MARAÚ;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;28;0;63
ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;2023;2;SIRI;MARAÚ;BA;SNCL;CAIRU;BA;DOMÉSTICA;REGULAR;3;0;9
ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;2023;2;SNCL;CAIRU;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;314;3;459
ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;2023;3;SBSV;SALVADOR;BA;SIRI;MARAÚ;BA;DOMÉSTICA;REGULAR;19;0;63
ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;2023;3;SBSV;SALVADOR;BA;SNCL;CAIRU;BA;DOMÉSTICA;REGULAR;180;5;279
ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;2023;3;SIRI;MARAÚ;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;22;0;63
ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;2023;3;SNCL;CAIRU;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;222;2;279
ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;2023;4;SBSV;SALVADOR;BA;SIRI;MARAÚ;BA;DOMÉSTICA;REGULAR;17;1;36
ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;2023;4;SBSV;SALVADOR;BA;SNCL;CAIRU;BA;DOMÉSTICA;REGULAR;181;4;279
ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;2023;4;SIRI;MARAÚ;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;12;1;36
ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;2023;4;SNCL;CAIRU;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;210;4;279
ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;2023;5;SBSV;SALVADOR;BA;SIRI;MARAÚ;BA;DOMÉSTICA;REGULAR;8;0;27
ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;2023;5;SBSV;SALVADOR;BA;SNCL;CAIRU;BA;DOMÉSTICA;REGULAR;136;6;261
ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;2023;5;SIRI;MARAÚ;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;4;0;27
ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;2023;5;SNCL;CAIRU;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;179;3;261
ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;2023;6;SBSV;SALVADOR;BA;SIRI;MARAÚ;BA;DOMÉSTICA;REGULAR;9;0;27
ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;2023;6;SBSV;SALVADOR;BA;SNCL;CAIRU;BA;DOMÉSTICA;REGULAR;99;7;225
ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;2023;6;SIRI;MARAÚ;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;2;0;27
