EMPRESA (SIGLA);EMPRESA (NOME);ANO;MÊS;AEROPORTO DE ORIGEM (SIGLA);AEROPORTO DE ORIGEM (NOME);AEROPORTO DE ORIGEM (UF);AEROPORTO DE DESTINO (SIGLA);AEROPORTO DE DESTINO (NOME);AEROPORTO DE DESTINO (UF);NATUREZA;GRUPO DE VOO;PASSAGEIROS PAGOS;PASSAGEIROS GRÁTIS;ASSENTOS
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2010;1;SBLP;BOM JESUS DA LAPA;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;23;0;
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2010;1;SBLP;BOM JESUS DA LAPA;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;35;0;168
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2010;1;SBSV;SALVADOR;BA;SBLP;BOM JESUS DA LAPA;BA;DOMÉSTICA;REGULAR;38;0;182
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2010;1;SBSV;SALVADOR;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;27;0;14
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2010;1;SNGI;GUANAMBI;BA;SBLP;BOM JESUS DA LAPA;BA;DOMÉSTICA;REGULAR;4;0;28
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2010;1;SNGI;GUANAMBI;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;57;0;196
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2010;2;SBLP;BOM JESUS DA LAPA;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;31;0;
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2010;2;SBLP;BOM JESUS DA LAPA;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;4;0;196
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2010;2;SBSV;SALVADOR;BA;SBLP;BOM JESUS DA LAPA;BA;DOMÉSTICA;REGULAR;43;0;182
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2010;2;SBSV;SALVADOR;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;49;0;
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2010;2;SNGI;GUANAMBI;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;73;0;182
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2010;3;SBLP;BOM JESUS DA LAPA;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;49;0;
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2010;3;SBLP;BOM JESUS DA LAPA;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;23;0;238
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2010;3;SBSV;SALVADOR;BA;SBLP;BOM JESUS DA LAPA;BA;DOMÉSTICA;REGULAR;59;0;238
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2010;3;SBSV;SALVADOR;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;59;0;28
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2010;3;SNGI;GUANAMBI;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;102;0;266
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2010;4;SBLP;BOM JESUS DA LAPA;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;33;0;
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2010;4;SBLP;BOM JESUS DA LAPA;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;15;0;224
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2010;4;SBSV;SALVADOR;BA;SBLP;BOM JESUS DA LAPA;BA;DOMÉSTICA;REGULAR;50;0;196
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2010;4;SBSV;SALVADOR;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;46;0;14
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2010;4;SNBR;BARREIRAS;BA;SBLP;BOM JESUS DA LAPA;BA;DOMÉSTICA;REGULAR;8;0;14
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2010;4;SNBR;BARREIRAS;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;0;0;
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2010;4;SNBR;BARREIRAS;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;2;0;
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2010;4;SNGI;GUANAMBI;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;78;0;224
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2010;5;SBLP;BOM JESUS DA LAPA;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;31;0;
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2010;5;SBLP;BOM JESUS DA LAPA;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;23;0;224
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2010;5;SBSV;SALVADOR;BA;SBLP;BOM JESUS DA LAPA;BA;DOMÉSTICA;REGULAR;56;0;224
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2010;5;SBSV;SALVADOR;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;68;0;
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2010;5;SNGI;GUANAMBI;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;99;0;224
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2010;6;SBLP;BOM JESUS DA LAPA;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;37;0;
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2010;6;SBLP;BOM JESUS DA LAPA;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;25;0;266
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2010;6;SBSV;SALVADOR;BA;SBLP;BOM JESUS DA LAPA;BA;DOMÉSTICA;REGULAR;76;0;266
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2010;6;SBSV;SALVADOR;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;58;0;14
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2010;6;SNGI;GUANAMBI;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;99;1;280
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2010;7;SBLP;BOM JESUS DA LAPA;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;59;0;
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2010;7;SBLP;BOM JESUS DA LAPA;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;7;0;252
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2010;7;SBSV;SALVADOR;BA;SBLP;BOM JESUS DA LAPA;BA;DOMÉSTICA;REGULAR;45;0;252
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2010;7;SBSV;SALVADOR;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;88;0;28
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2010;7;SNGI;GUANAMBI;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;95;1;280
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2010;8;SBLP;BOM JESUS DA LAPA;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;57;0;
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2010;8;SBLP;BOM JESUS DA LAPA;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;11;0;280
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2010;8;SBSV;SALVADOR;BA;SBLP;BOM JESUS DA LAPA;BA;DOMÉSTICA;REGULAR;72;0;280
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2010;8;SBSV;SALVADOR;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;64;0;14
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2010;8;SNGI;GUANAMBI;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;99;0;294
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2010;9;SBLP;BOM JESUS DA LAPA;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;33;0;
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2010;9;SBLP;BOM JESUS DA LAPA;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;61;0;266
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2010;9;SBSV;SALVADOR;BA;SBLP;BOM JESUS DA LAPA;BA;DOMÉSTICA;REGULAR;123;0;266
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2010;9;SBSV;SALVADOR;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;38;0;14
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2010;9;SNGI;GUANAMBI;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;118;0;280
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2010;10;SBLP;BOM JESUS DA LAPA;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;34;0;
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2010;10;SBLP;BOM JESUS DA LAPA;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;69;0;266
