EMPRESA (SIGLA);EMPRESA (NOME);ANO;MÊS;AEROPORTO DE ORIGEM (SIGLA);AEROPORTO DE ORIGEM (NOME);AEROPORTO DE ORIGEM (UF);AEROPORTO DE DESTINO (SIGLA);AEROPORTO DE DESTINO (NOME);AEROPORTO DE DESTINO (UF);NATUREZA;GRUPO DE VOO;PASSAGEIROS PAGOS;PASSAGEIROS GRÁTIS;ASSENTOS
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2004;1;SBLP;BOM JESUS DA LAPA;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;51;0;70
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2004;1;SBLP;BOM JESUS DA LAPA;BA;SNBR;BARREIRAS;BA;DOMÉSTICA;REGULAR;2;0;15
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2004;1;SBLP;BOM JESUS DA LAPA;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;37;0;140
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2004;1;SBSV;SALVADOR;BA;SBLP;BOM JESUS DA LAPA;BA;DOMÉSTICA;REGULAR;6;0;
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2004;1;SBSV;SALVADOR;BA;SNBR;BARREIRAS;BA;DOMÉSTICA;REGULAR;63;0;255
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2004;1;SBSV;SALVADOR;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;7;0;28
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2004;1;SNBR;BARREIRAS;BA;SBLP;BOM JESUS DA LAPA;BA;DOMÉSTICA;REGULAR;106;0;210
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2004;1;SNBR;BARREIRAS;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;43;0;45
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2004;1;SNBR;BARREIRAS;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;44;0;14
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2004;1;SNGI;GUANAMBI;BA;SBLP;BOM JESUS DA LAPA;BA;DOMÉSTICA;REGULAR;3;0;28
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2004;1;SNGI;GUANAMBI;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;54;0;154
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2004;1;SNGI;GUANAMBI;BA;SNBR;BARREIRAS;BA;DOMÉSTICA;REGULAR;1;0;15
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2004;2;SBLP;BOM JESUS DA LAPA;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;29;0;70
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2004;2;SBLP;BOM JESUS DA LAPA;BA;SNBR;BARREIRAS;BA;DOMÉSTICA;REGULAR;10;0;45
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2004;2;SBLP;BOM JESUS DA LAPA;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;14;0;112
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2004;2;SBSV;SALVADOR;BA;SBLP;BOM JESUS DA LAPA;BA;DOMÉSTICA;REGULAR;26;0;14
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2004;2;SBSV;SALVADOR;BA;SNBR;BARREIRAS;BA;DOMÉSTICA;REGULAR;58;0;180
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2004;2;SBSV;SALVADOR;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;14;0;56
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2004;2;SNBR;BARREIRAS;BA;SBLP;BOM JESUS DA LAPA;BA;DOMÉSTICA;REGULAR;66;0;154
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2004;2;SNBR;BARREIRAS;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;41;0;45
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2004;2;SNBR;BARREIRAS;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;41;0;14
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2004;2;SNGI;GUANAMBI;BA;SBLP;BOM JESUS DA LAPA;BA;DOMÉSTICA;REGULAR;11;0;56
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2004;2;SNGI;GUANAMBI;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;37;0;126
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2004;3;SBLP;BOM JESUS DA LAPA;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;18;0;56
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2004;3;SBLP;BOM JESUS DA LAPA;BA;SNBR;BARREIRAS;BA;DOMÉSTICA;REGULAR;1;0;15
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2004;3;SBLP;BOM JESUS DA LAPA;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;12;0;168
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2004;3;SBSV;SALVADOR;BA;SBLP;BOM JESUS DA LAPA;BA;DOMÉSTICA;REGULAR;6;0;
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2004;3;SBSV;SALVADOR;BA;SNBR;BARREIRAS;BA;DOMÉSTICA;REGULAR;64;0;240
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2004;3;SBSV;SALVADOR;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;10;0;28
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2004;3;SNBR;BARREIRAS;BA;SBLP;BOM JESUS DA LAPA;BA;DOMÉSTICA;REGULAR;69;0;224
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2004;3;SNBR;BARREIRAS;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;28;0;45
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2004;3;SNBR;BARREIRAS;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;59;0;
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2004;3;SNGI;GUANAMBI;BA;SBLP;BOM JESUS DA LAPA;BA;DOMÉSTICA;REGULAR;2;0;14
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2004;3;SNGI;GUANAMBI;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;48;0;168
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2004;3;SNGI;GUANAMBI;BA;SNBR;BARREIRAS;BA;DOMÉSTICA;REGULAR;2;0;15
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2004;4;SBLP;BOM JESUS DA LAPA;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;37;0;14
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2004;4;SBLP;BOM JESUS DA LAPA;BA;SNBR;BARREIRAS;BA;DOMÉSTICA;REGULAR;9;0;60
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2004;4;SBLP;BOM JESUS DA LAPA;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;19;0;182
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2004;4;SBSV;SALVADOR;BA;SBLP;BOM JESUS DA LAPA;BA;DOMÉSTICA;REGULAR;32;0;
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2004;4;SBSV;SALVADOR;BA;SNBR;BARREIRAS;BA;DOMÉSTICA;REGULAR;69;0;210
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2004;4;SBSV;SALVADOR;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;8;0;56
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2004;4;SNBR;BARREIRAS;BA;SBLP;BOM JESUS DA LAPA;BA;DOMÉSTICA;REGULAR;46;0;182
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2004;4;SNBR;BARREIRAS;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;63;0;60
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2004;4;SNBR;BARREIRAS;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;50;0;14
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2004;4;SNGI;GUANAMBI;BA;SBLP;BOM JESUS DA LAPA;BA;DOMÉSTICA;REGULAR;10;0;56
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2004;4;SNGI;GUANAMBI;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;62;0;168
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2004;5;SBLP;BOM JESUS DA LAPA;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;38;0;14
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2004;5;SBLP;BOM JESUS DA LAPA;BA;SNBR;BARREIRAS;BA;DOMÉSTICA;REGULAR;6;0;60
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2004;5;SBLP;BOM JESUS DA LAPA;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;0;0;182
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2004;5;SBSV;SALVADOR;BA;SBLP;BOM JESUS DA LAPA;BA;DOMÉSTICA;REGULAR;18;0;
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2004;5;SBSV;SALVADOR;BA;SNBR;BARREIRAS;BA;DOMÉSTICA;REGULAR;92;0;240
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2004;5;SBSV;SALVADOR;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;36;2;70
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2004;5;SBSV;SALVADOR;BA;SNVR;VERA CRUZ;BA;DOMÉSTICA;REGULAR;0;1;15
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2004;5;SNBR;BARREIRAS;BA;SBLP;BOM JESUS DA LAPA;BA;DOMÉSTICA;REGULAR;37;0;196
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2004;5;SNBR;BARREIRAS;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;71;0;60
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2004;5;SNBR;BARREIRAS;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;38;0;28
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2004;5;SNGI;GUANAMBI;BA;SBLP;BOM JESUS DA LAPA;BA;DOMÉSTICA;REGULAR;14;0;56
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2004;5;SNGI;GUANAMBI;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;45;0;224
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2004;6;SBLP;BOM JESUS DA LAPA;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;28;0;14
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2004;6;SBLP;BOM JESUS DA LAPA;BA;SNBR;BARREIRAS;BA;DOMÉSTICA;REGULAR;5;0;45
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2004;6;SBLP;BOM JESUS DA LAPA;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;13;0;196
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2004;6;SBSV;SALVADOR;BA;SBLP;BOM JESUS DA LAPA;BA;DOMÉSTICA;REGULAR;12;0;14
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2004;6;SBSV;SALVADOR;BA;SNBR;BARREIRAS;BA;DOMÉSTICA;REGULAR;119;0;240
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2004;6;SBSV;SALVADOR;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;20;0;28
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2004;6;SNBR;BARREIRAS;BA;SBLP;BOM JESUS DA LAPA;BA;DOMÉSTICA;REGULAR;57;0;210
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2004;6;SNBR;BARREIRAS;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;61;0;45
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2004;6;SNBR;BARREIRAS;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;37;0;14
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2004;6;SNGI;GUANAMBI;BA;SBLP;BOM JESUS DA LAPA;BA;DOMÉSTICA;REGULAR;3;0;28
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2004;6;SNGI;GUANAMBI;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;49;0;210
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2004;7;SBLP;BOM JESUS DA LAPA;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;48;0;42
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2004;7;SBLP;BOM JESUS DA LAPA;BA;SNBR;BARREIRAS;BA;DOMÉSTICA;REGULAR;14;0;60
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2004;7;SBLP;BOM JESUS DA LAPA;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;0;0;182
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2004;7;SBSV;SALVADOR;BA;SBLP;BOM JESUS DA LAPA;BA;DOMÉSTICA;REGULAR;10;0;14
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2004;7;SBSV;SALVADOR;BA;SNBR;BARREIRAS;BA;DOMÉSTICA;REGULAR;131;0;255
