EMPRESA (SIGLA);EMPRESA (NOME);ANO;MÊS;AEROPORTO DE ORIGEM (SIGLA);AEROPORTO DE ORIGEM (NOME);AEROPORTO DE ORIGEM (UF);AEROPORTO DE DESTINO (SIGLA);AEROPORTO DE DESTINO (NOME);AEROPORTO DE DESTINO (UF);NATUREZA;GRUPO DE VOO;PASSAGEIROS PAGOS;PASSAGEIROS GRÁTIS;ASSENTOS
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2001;1;SBAR;ARACAJU;SE;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;0;0;0
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2001;1;SBCV;CARAVELAS;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;1;0;15
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2001;1;SBLP;BOM JESUS DA LAPA;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;75;1;60
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2001;1;SBLP;BOM JESUS DA LAPA;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;1;0;270
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2001;1;SBMO;RIO LARGO;AL;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;0;0;0
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2001;1;SBPL;PETROLINA;PE;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;0;0;0
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2001;1;SBSV;SALVADOR;BA;SBAR;ARACAJU;SE;DOMÉSTICA;REGULAR;0;0;0
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2001;1;SBSV;SALVADOR;BA;SBLP;BOM JESUS DA LAPA;BA;DOMÉSTICA;REGULAR;62;1;75
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2001;1;SBSV;SALVADOR;BA;SBMO;RIO LARGO;AL;DOMÉSTICA;REGULAR;0;0;0
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2001;1;SBSV;SALVADOR;BA;SBPL;PETROLINA;PE;DOMÉSTICA;REGULAR;0;0;0
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2001;1;SBSV;SALVADOR;BA;SNBR;BARREIRAS;BA;DOMÉSTICA;REGULAR;0;0;0
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2001;1;SBSV;SALVADOR;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;40;0;255
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2001;1;SBSV;SALVADOR;BA;SNTF;TEIXEIRA DE FREITAS;BA;DOMÉSTICA;REGULAR;89;2;330
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2001;1;SNBR;BARREIRAS;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;0;0;0
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2001;1;SNGI;GUANAMBI;BA;SBLP;BOM JESUS DA LAPA;BA;DOMÉSTICA;REGULAR;0;0;240
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2001;1;SNGI;GUANAMBI;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;21;0;240
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2001;1;SNTF;TEIXEIRA DE FREITAS;BA;SBCV;CARAVELAS;BA;DOMÉSTICA;REGULAR;1;0;15
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2001;1;SNTF;TEIXEIRA DE FREITAS;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;92;2;315
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2001;2;SBAR;ARACAJU;SE;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;0;0;0
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2001;2;SBLP;BOM JESUS DA LAPA;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;55;0;30
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2001;2;SBLP;BOM JESUS DA LAPA;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;1;0;240
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2001;2;SBMO;RIO LARGO;AL;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;0;0;0
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2001;2;SBPL;PETROLINA;PE;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;0;0;0
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2001;2;SBSV;SALVADOR;BA;SBAR;ARACAJU;SE;DOMÉSTICA;REGULAR;0;0;0
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2001;2;SBSV;SALVADOR;BA;SBLP;BOM JESUS DA LAPA;BA;DOMÉSTICA;REGULAR;53;0;30
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2001;2;SBSV;SALVADOR;BA;SBMO;RIO LARGO;AL;DOMÉSTICA;REGULAR;0;0;0
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2001;2;SBSV;SALVADOR;BA;SBPL;PETROLINA;PE;DOMÉSTICA;REGULAR;0;0;0
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2001;2;SBSV;SALVADOR;BA;SNBR;BARREIRAS;BA;DOMÉSTICA;REGULAR;0;0;0
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2001;2;SBSV;SALVADOR;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;44;0;240
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2001;2;SBSV;SALVADOR;BA;SNTF;TEIXEIRA DE FREITAS;BA;DOMÉSTICA;REGULAR;97;0;255
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2001;2;SNBR;BARREIRAS;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;0;0;0
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2001;2;SNGI;GUANAMBI;BA;SBLP;BOM JESUS DA LAPA;BA;DOMÉSTICA;REGULAR;0;0;240
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2001;2;SNGI;GUANAMBI;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;59;0;240
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2001;2;SNTF;TEIXEIRA DE FREITAS;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;85;0;270
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2001;3;SBAR;ARACAJU;SE;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;0;0;0
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2001;3;SBLP;BOM JESUS DA LAPA;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;75;0;45
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2001;3;SBLP;BOM JESUS DA LAPA;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;2;0;285
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2001;3;SBMO;RIO LARGO;AL;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;0;0;0
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2001;3;SBPL;PETROLINA;PE;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;0;0;0
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2001;3;SBSV;SALVADOR;BA;SBAR;ARACAJU;SE;DOMÉSTICA;REGULAR;0;0;0
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2001;3;SBSV;SALVADOR;BA;SBLP;BOM JESUS DA LAPA;BA;DOMÉSTICA;REGULAR;68;0;15
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2001;3;SBSV;SALVADOR;BA;SBMO;RIO LARGO;AL;DOMÉSTICA;REGULAR;0;0;0
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2001;3;SBSV;SALVADOR;BA;SBPL;PETROLINA;PE;DOMÉSTICA;REGULAR;0;0;0
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2001;3;SBSV;SALVADOR;BA;SNBR;BARREIRAS;BA;DOMÉSTICA;REGULAR;0;0;0
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2001;3;SBSV;SALVADOR;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;69;1;315
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2001;3;SBSV;SALVADOR;BA;SNTF;TEIXEIRA DE FREITAS;BA;DOMÉSTICA;REGULAR;107;2;330
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2001;3;SNBR;BARREIRAS;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;0;0;0
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2001;3;SNGI;GUANAMBI;BA;SBLP;BOM JESUS DA LAPA;BA;DOMÉSTICA;REGULAR;1;0;315
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2001;3;SNGI;GUANAMBI;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;60;1;285
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2001;3;SNTF;TEIXEIRA DE FREITAS;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;97;1;330
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2001;4;SBAR;ARACAJU;SE;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;0;0;0
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2001;4;SBLP;BOM JESUS DA LAPA;BA;SBSV;SALVADOR;BA;DOMÉSTICA;REGULAR;68;0;15
ABJ;ABAETÉ LINHAS AÉREAS S.A.;2001;4;SBLP;BOM JESUS DA LAPA;BA;SNGI;GUANAMBI;BA;DOMÉSTICA;REGULAR;1;0;270
